职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接,市,关键字,最低工资,最高工资
数据分析岗,5千-8千,丽水,经验不限,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d,丽水,python,5000.0,8000.0
后端开发工程师,8千-1.6万,莲都区,1-3年,大专,Java、SPRINGBOOT,浙江中通文博服务有限公司,http://jobs.zhaopin.com/CC456117420J40507743605.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d,丽水,python,8000.0,16000.0
全栈工程师,8千-1.3万,莲都区,3-5年,本科,GoLang、Vue、Python、UNIAPP、MySQL,丽水市巷味社智能制造有限公司,http://jobs.zhaopin.com/CCL1478013930J40479038113.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d,丽水,python,8000.0,13000.0
研发工程师/软件工程师,6千-1.2万,莲都区,经验不限,本科,51单片机、PIC单片机、ARM处理器,浙江中广电器集团股份有限公司,http://jobs.zhaopin.com/CCL1390368790J40487440816.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d,丽水,python,6000.0,12000.0
安全运营服务工程师-丽水,1.4万-1.5万,莲都区,3-5年,本科,Java、Python、Golang、IDS、APT、防火墙、威胁情报分析平台、具备安全运营平台运营或建设经验、漏洞扫描、修复、上报完成漏洞闭环、网络、系统进行安全渗透测试,丰沃创新(北京)科技有限公司,http://jobs.zhaopin.com/CC454917820J40505982405.htm?refcode=4019&srccode=401901&preactionid=f5a19fd2-8f48-45af-acda-721a1ab7e99d,丽水,python,14000.0,15000.0
数据分析岗,5千-8千,丽水,经验不限,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=5b51dfe8-78a2-4ef5-8e74-4304c2b656fa,丽水,大数据,5000.0,8000.0
数据分析岗,5千-8千,丽水,经验不限,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,5000.0,8000.0
数据分析+管培生,1万-1.5万,莲都区,经验不限,本科,职能方向、市场方向、IT技术研发方向、人资方向、运营方向、商务方向,江西星函企业管理有限公司,http://jobs.zhaopin.com/CCL1322411260J40437639011.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,10000.0,15000.0
产品经理（国际业务方向）,8千-1.6万,莲都区,经验不限,本科,英语、需求分析、市场调研、数据分析、产品运营、项目管理,浙江泰隆商业银行股份有限公司丽水分行,http://jobs.zhaopin.com/CC299901310J40425785913.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,8000.0,16000.0
运营经理/销售管理/连锁店运营,1万-1.5万,莲都区,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40530619412.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,10000.0,15000.0
市场调研评估员/市场调查员-浙江丽水,300-500元/天,莲都区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482035716.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,6525.0,10875.0
市场调研评估员/市场调查员-浙江省丽水市景宁畲族自治县人民中路176号东方江泰广场,300-600元/天,景宁畲族自治县,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483016016.htm?refcode=4019&srccode=401901&preactionid=b8d9e692-2147-4c3b-bb20-0ed546b728b9,丽水,数据分析,6525.0,13050.0
数据分析岗,5千-8千,丽水,经验不限,本科,销售数据分析、金融数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40462812812.htm?refcode=4019&srccode=401901&preactionid=88960983-3b57-423c-8aef-05d783f41604,丽水,数据挖掘,5000.0,8000.0
视觉算法工程师,1万-2万 · 13薪,莲都区,5-10年,本科,图像处理、PyTorch、Keras、C#、C++、C语言、机器人、图像识别产品,浙江华企正邦自动化科技有限公司,http://jobs.zhaopin.com/CC694920830J40520724808.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,10833.333333333334,21666.666666666668
研发工程师/软件工程师,6千-1.2万,莲都区,经验不限,本科,51单片机、PIC单片机、ARM处理器,浙江中广电器集团股份有限公司,http://jobs.zhaopin.com/CCL1390368790J40487440816.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,6000.0,12000.0
电子软件工程师,5千-1万,缙云县,经验不限,大专,软件工程师、单片机、软件,缙云县辰阳电子有限公司,http://jobs.zhaopin.com/CC854429450J40106352913.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,5000.0,10000.0
研发工程师/硬件工程师,6千-1.1万,莲都区,经验不限,本科,设计、硬件测试、PCB设计,浙江中广电器集团股份有限公司,http://jobs.zhaopin.com/CCL1390368790J40487437316.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,6000.0,11000.0
电子硬件工程师,1万-2万,缙云县,经验不限,大专,PCB设计、电路设计、版图设计工程师、硬件电路设计、单片机、STM32、硬件调试、Protel,缙云县辰阳电子有限公司,http://jobs.zhaopin.com/CC854429450J40278673913.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,10000.0,20000.0
电子硬件工程师,1万-2万,缙云县,经验不限,大专,PCB设计、电路设计、Protel、AD、硬件开发、硬件电路设计、STM32、硬件调试,缙云县辰阳电子有限公司,http://jobs.zhaopin.com/CC854429450J40278675213.htm?refcode=4019&srccode=401901&preactionid=5e18c216-70e4-48a3-b8cd-44b518e399f5,丽水,算法,10000.0,20000.0
Python开发工程师（台州）,8千-1.2万,椒江区,1-3年,本科,,清鹤科技,http://jobs.zhaopin.com/CC192343020J40512050307.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,8000.0,12000.0
数据分析师,5千-9千,临海市,经验不限,本科,Python、SQL、SPSS,伟星股份,http://jobs.zhaopin.com/CC173330310J40410264902.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,5000.0,9000.0
软件测试工程师,7千-1.4万,椒江区,1-3年,大专,功能测试、系统测试、通信测试、C++、Python、Java、Jmeter、Postman,台州市旗竑机器人有限公司,http://jobs.zhaopin.com/CCL1447493720J40507786405.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,7000.0,14000.0
上位机软件开发工程师,5千-1万,台州,经验不限,本科,Python、C++,台州智行妙蛙信息科技有限公司,http://jobs.zhaopin.com/CCL1477001880J40511901809.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,5000.0,10000.0
数据分析师（杭州）,面议,椒江区,3-5年,本科,Python、机器学习、深度学习、神经网络,台州银行,http://jobs.zhaopin.com/CC148712360J40501974308.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,12919.836258254378,20824.214667671546
软件开发工程师,1万-2万,温岭市,1-3年,本科,C语言、C++、QT、Python,浙江钱江机器人公司,http://jobs.zhaopin.com/CC208527031J90250104000.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,10000.0,20000.0
机器人软件工程师,1.5万-3万,椒江区,1-3年,本科,C、Java、Python、机器人开发、Linux开发、WebGL,台州市旗竑机器人有限公司,http://jobs.zhaopin.com/CCL1447493720J40511424205.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,15000.0,30000.0
软件开发实习生,130-180/天,温岭市,经验不限,本科,Python、图形图像开发、3D图形处理,温岭镭昊光电有限公司,http://jobs.zhaopin.com/CCL1271678690J40553153714.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,2827.5,3915.0
软件工程师,1.5万-3万 · 13薪,温岭市,3-5年,本科,C#、C++、.Net、机器视觉、运动控制系统、工业机器人,浙江天弘激光科技有限公司,http://jobs.zhaopin.com/CCL1299449420J40291900509.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,16250.0,32500.0
应用开发工程师,8千-1万 · 14薪,玉环市,1-3年,本科,系统运维、Java、Python,双环传动,http://jobs.zhaopin.com/CC200006520J40492903506.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,9333.333333333332,11666.666666666668
信息技术专员,4千-6千,椒江区,1-3年,本科,OA系统、ERP系统、SAP系统、Java、C++、Python、Linux、SQL Server、MySQL,立马车业集团有限公司,http://jobs.zhaopin.com/CC538521920J40485594509.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,4000.0,6000.0
软件工程师【台州】,5千-1万,玉环市,经验不限,大专,32位单片机、ARM处理器、嵌入式软件,杭州沪龙创新科技有限公司,http://jobs.zhaopin.com/CC821663040J40581969215.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,5000.0,10000.0
软件工程师,5千-1万,玉环市,经验不限,大专,嵌入式软件开发、32位单片机、ARM系列、运动控制、电机控制,浙江沪龙科技股份有限公司,http://jobs.zhaopin.com/CC374946330J40457751202.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,5000.0,10000.0
软件运维工程师,6千-8千,椒江区,1-3年,大专,Nginx、Python、Shell,浙江中威应急管理有限公司,http://jobs.zhaopin.com/CC582252830J40552191712.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,6000.0,8000.0
数字展馆信息化管理,2万-3万,椒江区,5-10年,本科,Java、Python、ITSS、ITLS,成都嘉伯乐人力资源管理有限公司,http://jobs.zhaopin.com/CCL1412742120J40496267306.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,20000.0,30000.0
机器人调试工程师助理,100-150/天,温岭市,经验不限,学历不限,机器人程序编程、机器人系统集成、机器人仿真验证、工业机器人、ABB、Python、SolidWorks、AutoCAD,台州灵视科技有限公司,http://jobs.zhaopin.com/CCL1420222640J40514854514.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,2175.0,3262.5
软件工程师,9千-1.8万,温岭市,3-5年,大专,C语言、C++、嵌入式技术、汇编语言,中科环力股份有限公司,http://jobs.zhaopin.com/CC848187000J40436219011.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,9000.0,18000.0
生物信息分析工程师,7千-1.1万,椒江区,经验不限,硕士,单细胞、基因组学、转录组学、免疫组学、R语言、Python,台州临研医学科技有限公司,http://jobs.zhaopin.com/CCL1471830660J40479962506.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,7000.0,11000.0
高级自动化测试-台州银行,1.6万-2万,椒江区,经验不限,本科,Jmeter、POSTMAN、Charles、Fiddler、RobotFramework、PYTEST、TestNG、CUCUMBER、Python、Java,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40580384815.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,16000.0,20000.0
软件开发工程师（台州）(002672),面议,椒江区,1-3年,本科,Java、C++、SPRINGCLOUD、Dubbo、微服务,台州银行,http://jobs.zhaopin.com/CC148712360J40395846108.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639,台州,python,12919.836258254378,20824.214667671546
