职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
Python开发工程师（台州）,8千-1.2万,台州-椒江区,1-3年,本科,,清鹤科技,http://jobs.zhaopin.com/CC192343020J40512050307.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
数据分析师,5千-9千,台州-临海市,经验不限,本科,Python、SQL、SPSS,伟星股份,http://jobs.zhaopin.com/CC173330310J40410264902.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件测试工程师,7千-1.4万,台州-椒江区,1-3年,大专,功能测试、系统测试、通信测试、C++、Python、Java、Jmeter、Postman,台州市旗竑机器人有限公司,http://jobs.zhaopin.com/CCL1447493720J40507786405.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
上位机软件开发工程师,5千-1万,台州,经验不限,本科,Python、C++,台州智行妙蛙信息科技有限公司,http://jobs.zhaopin.com/CCL1477001880J40511901809.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
数据分析师（杭州）,面议,台州-椒江区,3-5年,本科,Python、机器学习、深度学习、神经网络,台州银行,http://jobs.zhaopin.com/CC148712360J40501974308.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件开发工程师,1万-2万,台州-温岭市,1-3年,本科,C语言、C++、QT、Python,浙江钱江机器人公司,http://jobs.zhaopin.com/CC208527031J90250104000.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
机器人软件工程师,1.5万-3万,台州-椒江区,1-3年,本科,C、Java、Python、机器人开发、Linux开发、WebGL,台州市旗竑机器人有限公司,http://jobs.zhaopin.com/CCL1447493720J40511424205.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件开发实习生,130-180/天,台州-温岭市,无经验,本科,Python、图形图像开发、3D图形处理,温岭镭昊光电有限公司,http://jobs.zhaopin.com/CCL1271678690J40553153714.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件工程师,1.5万-3万 · 13薪,台州-温岭市,3-5年,本科,C#、C++、.Net、机器视觉、运动控制系统、工业机器人,浙江天弘激光科技有限公司,http://jobs.zhaopin.com/CCL1299449420J40291900509.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
应用开发工程师,8千-1万 · 14薪,台州-玉环市,1-3年,本科,系统运维、Java、Python,双环传动,http://jobs.zhaopin.com/CC200006520J40492903506.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
信息技术专员,4千-6千,台州-椒江区,1-3年,本科,OA系统、ERP系统、SAP系统、Java、C++、Python、Linux、SQL Server、MySQL,立马车业集团有限公司,http://jobs.zhaopin.com/CC538521920J40485594509.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件工程师【台州】,5千-1万,台州-玉环市,经验不限,大专,32位单片机、ARM处理器、嵌入式软件,杭州沪龙创新科技有限公司,http://jobs.zhaopin.com/CC821663040J40581969215.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件工程师,5千-1万,台州-玉环市,经验不限,大专,嵌入式软件开发、32位单片机、ARM系列、运动控制、电机控制,浙江沪龙科技股份有限公司,http://jobs.zhaopin.com/CC374946330J40457751202.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
软件运维工程师,6千-8千,台州-椒江区,1-3年,大专,Nginx、Python、Shell,浙江中威应急管理有限公司,http://jobs.zhaopin.com/CC582252830J40552191712.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
数字展馆信息化管理,2万-3万,台州-椒江区,5-10年,本科,Java、Python、ITSS、ITLS,成都嘉伯乐人力资源管理有限公司,http://jobs.zhaopin.com/CCL1412742120J40496267306.htm?refcode=4019&srccode=401901&preactionid=9105e4e4-585d-4cda-8cb1-1fbc7ac4a639
