职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗,5千-7千,台州-椒江区,1-3年,本科,,中国太平洋财产保险股份有限公司台州中心支公司,http://jobs.zhaopin.com/CC244385710J40526075201.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
数据分析师,5千-9千,台州-临海市,经验不限,本科,Python、SQL、SPSS,伟星股份,http://jobs.zhaopin.com/CC173330310J40410264902.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
数据分析师,1.2万-1.5万,台州-椒江区,1-3年,本科,数据分析、数据采集、行业分析、数据建模、大数据分析、数据挖掘、商业数据分析、销售数据分析,浙江普道科技信息服务有限公司,http://jobs.zhaopin.com/CC867077900J40380091205.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
数据分析师（杭州）,面议,台州-椒江区,3-5年,本科,Python、机器学习、深度学习、神经网络,台州银行,http://jobs.zhaopin.com/CC148712360J40501974308.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
数据采集,3千-5千,台州,经验不限,高中,,湖北明和规划设计有限公司,http://jobs.zhaopin.com/CCL1476640540J40488941616.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
业务管理岗---计算机或者财务相关专业或者数据资源管理,5千-7千 · 13薪,台州-黄岩区,经验不限,本科,,中国人民财产保险股份有限公司福州市仓山支公司,http://jobs.zhaopin.com/CC269760730J40501100816.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
统计分析员,4千-5千,台州-温岭市,经验不限,大专,生产统计、数据统计分析、车间统计,浙江大洋风机有限公司,http://jobs.zhaopin.com/CCL1330415040J40565405915.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
渠道分析,7千-1万,台州-黄岩区,3-5年,本科,,爱玛科技集团股份有限公司,http://jobs.zhaopin.com/CC315121710J40531834501.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
生产数据管理员,5千-6千,台州-临海市,经验不限,本科,生产统计、车间统计、数据统计分析,浙江伟星新型建材股份有限公司,http://jobs.zhaopin.com/CC190544810J40380168916.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
销售内务主管/经理,9千-1.3万,台州-温岭市,3-5年,本科,,绿城管理集团,http://jobs.zhaopin.com/CC542265420J40517006409.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
物流经营分析,1.3万-1.5万,台州-临海市,3-5年,大专,,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515780009.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
标准化工程师,1万-2万,台州-玉环市,5-10年,本科,标准化、标准体系、数据分析,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40210314807.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
运营经理/销售管理/连锁店运营,1.1万-1.8万,台州-临海市,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40546142512.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
物流经营分析,1.1万-1.5万,台州-临海市,1-3年,大专,公路运输、干线货运,壹米滴答供应链集团有限公司,http://jobs.zhaopin.com/CC290569130J40515799909.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
市场调研评估员/市场调查员-浙江天台县,0.3千-0.5千元/月,台州-椒江区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483016816.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
带包高级理财经理,1.9万-3.5万,台州-临海市,1-3年,本科,证券从业资格证、基金从业资格证、金融业、证券投资咨询资格证、股票市场、债券市场、基金市场、期货市场,方正证券股份有限公司,http://jobs.zhaopin.com/CC157108810J40337357604.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
市场调研评估员/市场调查员-浙江省台州市临海市东方大道1号银泰城,300-600元/天,台州-临海市,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483018616.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
市场调研评估员/市场调查员-浙江台州,300-500元/天,台州-黄岩区,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482809316.htm?refcode=4019&srccode=401901&preactionid=6f7a93bb-103e-4c77-a0ef-4f53806aa237
