职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
图像算法实习生,150-250/天,台州-温岭市,无经验,本科,图像处理、图像检测识别、OpenCV、视觉图像算法、工业视觉检测、C++,温岭镭昊光电有限公司,http://jobs.zhaopin.com/CCL1271678690J40553200514.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
单片机软件工程师,7千-1.4万,台州-温岭市,经验不限,大专,,台州市菱士达电器有限公司,http://jobs.zhaopin.com/CC317345310J40194739101.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
算法工程师,8千-1.4万,台州-温岭市,1-3年,本科,机器人、传感器、C++、MATLAB,浙江钱江机器人公司,http://jobs.zhaopin.com/CC208527030J40247830915.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
嵌入软件开发工程师,1万-2万,台州,1-3年,硕士,C语言、C++、驱动开发、PCB设计、物联网、嵌入式软件开发、电路设计、单片机开发,浙江天翀车灯集团有限公司,http://jobs.zhaopin.com/CC148747490J40286184311.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
嵌入式软件工程师,8千-1.6万 · 13薪,台州-椒江区,1-3年,大专,32位单片机、PIC单片机,台州兆普机电有限公司,http://jobs.zhaopin.com/CCL1398514020J40500455102.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
嵌入式软件工程师,2.5万-3.5万,台州-温岭市,3-5年,本科,,宁波起点人力资源开发有限公司,http://jobs.zhaopin.com/CCL1324489890J40521888009.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
嵌入式软件工程师,6千-1.2万,台州-温岭市,经验不限,大专,32位单片机、8位单片机、DSP,浙江颐顿机电有限公司,http://jobs.zhaopin.com/CC473826410J40486478702.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
嵌入式软件工程师,8千-1.6万,台州,1-3年,本科,嵌入式软件开发、电路设计、C语言、单片机开发,浙江高宇液压机电有限公司,http://jobs.zhaopin.com/CC587732730J40304674904.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
视觉技术员,6千-8千 · 13薪,台州,1年以下,本科,Halcon、缺陷检测、图像处理、视觉检测,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40296248007.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
机器视觉工程师（halcon）,9千-1.8万 · 13薪,台州-天台县,1-3年,本科,机器视觉、3d视觉、图像处理、Halcon、线激光,浙江银轮智能装备有限公司,http://jobs.zhaopin.com/CC464187880J40373857211.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
视觉工程师,1.5万-3万,台州-玉环市,3-5年,本科,C++、Halcon、机器视觉、缺陷检测、视觉检测、图像处理、相机镜头,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40210258907.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
视觉助理工程师,8千-1.2万 · 13薪,台州,1年以下,硕士,视觉检测、Halcon、机器视觉、缺陷检测、C#、图像处理、双目视觉,迈得医疗工业设备股份有限公司,http://jobs.zhaopin.com/CC546871520J40296249607.htm?refcode=4019&srccode=401901&preactionid=079188ec-c486-4f37-ae76-c78ac318ca19
