职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
Python开发工程师,1.3万-2万 · 13薪,嘉兴-桐乡市,1-3年,本科,Python,浙江巨能环境工程有限公司,http://jobs.zhaopin.com/CC577369420J40283318109.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
统计分析员实习生（SA Intern）-漯河（2024校招）,110-150/天,嘉兴-南湖区,无经验,本科,SAS、Eviews、多元统计分析、因子分析、主成份分析、回归算法、方差分析、R语言、Python、SPSS、聚类算法,泰格医药,http://jobs.zhaopin.com/CC245090110J40474154602.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
ETL工程师（嘉兴）,1万-1.8万,嘉兴-南湖区,3-5年,本科,DataStage、Informatica、SQL、Shell、数据开发、数据清洗、报表开发、Oracle,先进数通,http://jobs.zhaopin.com/CC000432190J40432496816.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
Python开发工程师（嘉兴）,6千-1.2万 · 14薪,嘉兴-南湖区,1-3年,本科,Python、Django、数据库、MySQL,浙江和达科技股份有限公司,http://jobs.zhaopin.com/CC255098130J40152596610.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
软件测试实习生（24届）,120元/天,嘉兴-南湖区,经验不限,本科,Python、Java、自动化测试,嘉赛信息,http://jobs.zhaopin.com/CC491684020J40443070404.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
图像算法工程师,2.2万-4万 · 15薪,嘉兴-南湖区,3-5年,硕士,PyTorch、图像处理、图像检测识别、人脸识别、视觉图像算法、自动驾驶、Python,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40396282704.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
BI Specialist/BI工程师,8千-1.5万,嘉兴-秀洲区,1-3年,本科,数据可视化、数据治理、数据挖掘、报表开发、Power BI、QuickBI、数据仓库、SQL,德沃康科技集团有限公司,http://jobs.zhaopin.com/CC426410710J40446813210.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
大数据可视化研发工程师,6千-1.2万 · 13薪,嘉兴-秀洲区,经验不限,本科,Canvas、WebGL、Echarts、Three.js、MXGRAPH、ElementUI、Bootstrap、Vue,嘉兴市翼马科技有限公司,http://jobs.zhaopin.com/CCL1359645130J40202109013.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
图像算法工程师（工作地点：浙江嘉兴）,2.2万-4万 · 15薪,嘉兴-南湖区,3-5年,硕士,Python、图像处理、图像检测识别、人脸识别产品、视觉图像算法、自动驾驶,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40483481504.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
软件工程师,7千-1.4万,嘉兴-秀洲区,经验不限,中专/中技,自动控制、算法、C#、电路、数字电路、Python、嵌入式、驱动开发,嘉兴微拓电子科技股份有限公司,http://jobs.zhaopin.com/CCL1242316090J40443098112.htm?refcode=4019&srccode=401901&preactionid=bc35cbde-4cfb-451b-ad38-88cdfacc1092
