职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
市场分析岗,1.2万-2.4万,嘉兴-南湖区,经验不限,本科,行业调研、产品调研、化工行业、市场分析、行情分析,卫星化学股份有限公司,http://jobs.zhaopin.com/CC451189010J40511706605.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
市场调研评估员/市场调查员-浙江海宁,0.3千-0.5千元/月,嘉兴-南湖区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483011616.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
研究人员 区域发展战略研究室,8千-1.2万,嘉兴-秀洲区,经验不限,硕士,IT/互联网、汽车行业、制造业、经济研究、政策研究、企业研究、技术面研究、能源/环保,浙江大学嘉兴研究院,http://jobs.zhaopin.com/CCL1320974630J40277536814.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
聚烯烃市场分析,1.5万-2.2万,嘉兴-南湖区,3-5年,本科,行业调研、竞品调研,卫星化学股份有限公司,http://jobs.zhaopin.com/CC451189010J40512864605.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
证券研究员,3千-6千,嘉兴-南湖区,经验不限,学历不限,股票市场、债券市场、期货市场,嘉兴市利东潮科技有限公司,http://jobs.zhaopin.com/CCL1476163050J40508599103.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
市场调研评估员/市场调查员-浙江海宁,300-500元/天,嘉兴-海宁市,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40482800116.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
投资顾问,1万-2万,嘉兴-南湖区,1-3年,本科,金融业、股票市场、投资分析、证券从业资格证、基金从业资格证、证券投资咨询资格证,平安证券,http://jobs.zhaopin.com/CC318148910J40383119104.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
市场研究经理,1.8万-2.5万 · 13薪,嘉兴-桐乡市,5-10年,本科,市场研究、用户调研、行业研究、用户分析、竞品分析,浙江鸿富供应链管理有限公司,http://jobs.zhaopin.com/CC879600930J40479704216.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
市场调研评估员/市场调查员-浙江嘉兴嘉善县,0.3千-0.5千元/月,嘉兴-嘉善县,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40492078116.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
市场调研评估员/市场调查员-浙江嘉兴,300-500元/天,嘉兴-南湖区,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40375092916.htm?refcode=4019&srccode=401901&preactionid=43070140-b7f8-4d4c-b4eb-86f2a928358c
