职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
图像算法工程师,2.2万-4万 · 15薪,嘉兴-南湖区,3-5年,硕士,PyTorch、图像处理、图像检测识别、人脸识别、视觉图像算法、自动驾驶、Python,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40396282704.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
高级图像算法工程师,2万-4万 · 13薪,嘉兴-嘉善县,1-3年,硕士,智慧医疗、医学影像、缺陷检测、工业视觉检测,嘉兴晶铸生物科技有限公司,http://jobs.zhaopin.com/CC874394530J40364190810.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
人工智能算法工程师,1.5万-3万,嘉兴-桐乡市,经验不限,硕士,机器人算法、运动控制算法,乌镇实验室,http://jobs.zhaopin.com/CCL1333798550J40496387206.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
图像算法工程师（工作地点：浙江嘉兴）,2.2万-4万 · 15薪,嘉兴-南湖区,3-5年,硕士,Python、图像处理、图像检测识别、人脸识别产品、视觉图像算法、自动驾驶,嘉兴真与科技有限责任公司,http://jobs.zhaopin.com/CCL1388980520J40483481504.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
嵌入式软件工程师,2.6万-5万 · 18薪,嘉兴-南湖区,经验不限,学历不限,嵌入式软件开发,世猎(上海)人力资源有限公司,http://jobs.zhaopin.com/CCL1407138080J40476175702.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
视觉算法工程师,2万-2.5万 · 15薪,嘉兴-海宁市,3-5年,本科,机器视觉、缺陷检测、图像处理、视觉检测,浙江海利得新材料股份有限公司,http://jobs.zhaopin.com/CC140467480J40155253803.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
软件工程师,7千-1.4万,嘉兴-秀洲区,经验不限,中专/中技,自动控制、算法、C#、电路、数字电路、Python、嵌入式、驱动开发,嘉兴微拓电子科技股份有限公司,http://jobs.zhaopin.com/CCL1242316090J40443098112.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
图像算法工程师（嘉兴）,2万-3万,嘉兴-秀洲区,1-3年,硕士,图像处理、医学影像、C++,恒宇医疗,http://jobs.zhaopin.com/CC465360580J40402935316.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
嵌入式系统工程师（海宁）,1万-1.8万,嘉兴-海宁市,3-5年,本科,嵌入式、C语言、嵌入式硬件开发、嵌入式软件开发、C#、PCB设计、STM32、单片机开发,艾聚斯(海宁)智能科技有限公司,http://jobs.zhaopin.com/CC873013070J40205826805.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
AI算法工程师(J13082),2万-3万,嘉兴-秀洲区,3-5年,本科,Python、Java、Hadoop、Spark、hive、Flink,浙江天正电气股份有限公司,http://jobs.zhaopin.com/CC178939210J40487326711.htm?refcode=4019&srccode=401901&preactionid=12287e5c-89b7-4abe-8fcb-d6ff50f62904
