职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
少儿编程Python讲师,8千-1.2万 · 13薪,宁波-海曙,经验不限,本科,C/C++、Python、Scratch,杭州小码教育科技有限公司,http://jobs.zhaopin.com/CC394236080J40297169212.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
数据分析师,5千-1万 · 13薪,宁波,经验不限,本科,Python,宁波米福软件有限公司,http://jobs.zhaopin.com/CC646016820J40426123316.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
数据采集工程师,1.5万-1.8万,宁波-鄞州,3-5年,本科,SCADA,博威合金,http://jobs.zhaopin.com/CC523879320J40532276507.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
Python开发工程师,1万-1.6万,宁波-鄞州,1-3年,本科,Python爬虫框架、数据分析、数据采集、数据库,宁波渠成集团有限公司,http://jobs.zhaopin.com/CC388690030J40424825702.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
系统管理员,8千-1.3万,宁波-镇海,1-3年,大专,SQL、Java、Python、CRM系统管理、HR系统管理、ERP系统管理、OA系统管理、MySQL、SQL Server,浙江摩根集团有限公司,http://jobs.zhaopin.com/CC512417730J40541132101.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
Python开发工程师,8千-1.2万 · 14薪,宁波,1-3年,本科,中级软件工程师、Django、Flask、Pandas、NumPy,博威合金,http://jobs.zhaopin.com/CC523879320J40400594407.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
c/c++，java，js，python软件开发,1.8万-3.5万 · 16薪,宁波-北仑,1-3年,本科,后端开发、WEB开发、Python、Java,外企德科,http://jobs.zhaopin.com/CC138117190J40393127305.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
BI,1.5万-2.5万 · 16薪,宁波-鄞州,1-3年,本科,数据仓库、数据挖掘、SQL,乐歌股份,http://jobs.zhaopin.com/CC353365010J40498533505.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
数据分析师,1万-2万 · 14薪,宁波-鄞州,1-3年,本科,Python、数据建模、Sql,博威合金,http://jobs.zhaopin.com/CC523879320J40519180707.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
Golang开发工程师,8千-1.2万,宁波-鄞州,经验不限,本科,Golang、后端开发、Windows、Beego、Python、PHP、Gin、初级软件工程师,浙江联发创新电子科技有限公司,http://jobs.zhaopin.com/CC427961280J40264432009.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
库存数据分析专员,5千-8千 · 13薪,宁波-鄞州,经验不限,本科,SQL、Python、R语言、库存数据分析,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40447822304.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
视觉软件工程师,1.4万-2.8万,宁波-余姚,1-3年,本科,视觉定位、图像处理、C#、Python、缺陷检测、视觉图像算法、视觉标定、工业视觉检测,宁波丞达精机股份有限公司,http://jobs.zhaopin.com/CCL1362099370J40278594003.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
赴日软件工程师（大学毕业生）,1.5万-2万,宁波-海曙,无经验,本科,.NET、C#、Java、Python、小程序开发、SQL,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40398758013.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
风控部-数据分析岗,2万-3.5万,宁波-江北,1-3年,本科,风险数据集市、风险特征框架设计、Sql、Python,宁波力易达人力资源服务有限公司,http://jobs.zhaopin.com/CCL1460298740J40503407610.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
高性能应用软件工程师,2.5万-5万,宁波-江北,经验不限,本科,C++、C、Python、Linux开发、网络协议、Socket技术、精通 GCC、GDB,宁波远古超传科技有限公司,http://jobs.zhaopin.com/CCL1472027220J40468146611.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
图像算法工程师,1.2万-2.4万 · 13薪,宁波-余姚,3-5年,本科,OpenCV、工业视觉检测、缺陷检测、智能制造、视觉图像算法、图像检测识别、Halcon、Python,宁波明虹智能科技有限公司,http://jobs.zhaopin.com/CCL1407866460J40388068610.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
系统运维专员,6千-8千,宁波-鄞州,经验不限,本科,Python、Oracle、MySQL、SQL Server,海尔施生物医药股份有限公司,http://jobs.zhaopin.com/CC458696410J40430936208.htm?refcode=4019&srccode=401901&preactionid=e4438118-0aa8-45be-8bee-f67ea79b009f
