职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
应用研发岗（数据方向）,2万-3万,宁波-江北,3-5年,本科,Hadoop、Spark、ORACLE、MYSQL,宁波力易达人力资源服务有限公司,http://jobs.zhaopin.com/CCL1460298740J40514972910.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
物流数据分析专员,5千-8千 · 13薪,宁波-鄞州,经验不限,本科,SQL、Python、R语言、物流数据分析,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40447841204.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析师,5千-8千 · 13薪,宁波-海曙,经验不限,本科,数据治理、数据挖掘,宁波正立企业咨询服务有限公司,http://jobs.zhaopin.com/CC625423520J40582921615.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据运营,5千-1万,宁波-鄞州,经验不限,学历不限,金融数据分析,宁波诗言网络服务有限公司,http://jobs.zhaopin.com/CCL1464430120J40539769314.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析师,2.5万-3.5万,宁波-鄞州,3-5年,本科,,杭州嘉才企业管理咨询有限公司,http://jobs.zhaopin.com/CC415907010J40498933503.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
风控部-数据分析岗,2万-3.5万,宁波-江北,1-3年,本科,风险数据集市、风险特征框架设计、Sql、Python,宁波力易达人力资源服务有限公司,http://jobs.zhaopin.com/CCL1460298740J40503407610.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析师,6千-9千 · 13薪,宁波-鄞州,经验不限,大专,财务数据分析、销售数据分析,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40358568304.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据运营专员,6千-8千,宁波-海曙,1-3年,本科,电商数据运营、销售数据运营、经营数据分析、直播数据分析、市场数据分析,三生(中国)健康产业有限公司,http://jobs.zhaopin.com/CC142443890J40288802011.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析师（汽车行业）,1.5万-2万,宁波-慈溪,3-5年,本科,Sql,中安润微科技上海,http://jobs.zhaopin.com/CCL1476042980J40510204710.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析员,5千-8千,宁波-北仑,经验不限,本科,市场方向、销售方向,腾龙精线集团有限公司,http://jobs.zhaopin.com/CC649229030J40383690213.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据经营岗,2万-3万,宁波-江北,1-3年,本科,客户经营、客户分析、经营策略、促提活动策划,宁波力易达人力资源服务有限公司,http://jobs.zhaopin.com/CCL1460298740J40500660110.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
PDMS数据库管理员,1万-1.5万 · 14薪,宁波-鄞州,1-3年,本科,PDM,奥克斯空调股份有限公司,http://jobs.zhaopin.com/CC563588430J40454439404.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数据分析与服务岗,5千-7千 · 14薪,宁波-北仑,1-3年,本科,数据治理、数据挖掘、Python、Sql,天津北海油人力资源咨询服务有限公司宁波分公司,http://jobs.zhaopin.com/CC867987220J40506054703.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
数字化运营专员,4千-5千 · 13薪,宁波-镇海,1-3年,大专,,万物云空间科技服务股份有限公司,http://jobs.zhaopin.com/CCL1309918150J40538306014.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
经营提升岗,6千-7千,宁波-慈溪,1-3年,大专,经营数据分析,宝供物流,http://jobs.zhaopin.com/CC121002690J40513730010.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
DBAdmin工程师（数据库）,1.2万-2.4万 · 13薪,宁波-余姚,3-5年,大专,系统运维、SQL、Oracle、Linux、OCP,宁波泰睿思微电子有限公司,http://jobs.zhaopin.com/CCL1306273530J40360282801.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
软件数据分析师,8千-1.5万,宁波-鄞州,1-3年,本科,Python、SQL、运营数据分析,宁波海尔欣光电科技有限公司,http://jobs.zhaopin.com/CC359961380J40507142709.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
亚马逊数据运营,4千-5千,宁波-鄞州,1-3年,大专,电商数据运营,宁波市鄞州易网信网络科技有限公司,http://jobs.zhaopin.com/CC699335030J40531399407.htm?refcode=4019&srccode=401901&preactionid=26a95183-0dbc-40b6-8bef-a5ac08771242
