职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据标注分析,8千-1.2万,宁波-镇海,经验不限,大专,,上海微创软件股份有限公司,http://jobs.zhaopin.com/CC000638920J40549953014.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,5千-1万 · 13薪,宁波,经验不限,本科,Python,宁波米福软件有限公司,http://jobs.zhaopin.com/CC646016820J40426123316.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据统计分析,4千-6千,宁波-鄞州,1-3年,本科,,宁波杰艾供应链管理有限公司,http://jobs.zhaopin.com/CC842543340J40587603715.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据治理岗,1.5万-1.8万,宁波-鄞州,1-3年,本科,,宁波东海银行股份有限公司,http://jobs.zhaopin.com/CC446772120J40471854704.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据采集工程师,1.5万-1.8万,宁波-鄞州,3-5年,本科,SCADA,博威合金,http://jobs.zhaopin.com/CC523879320J40532276507.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,5千-8千 · 13薪,宁波-海曙,经验不限,本科,数据治理、数据挖掘,宁波正立企业咨询服务有限公司,http://jobs.zhaopin.com/CC625423520J40582921615.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,2.5万-3.5万,宁波-鄞州,3-5年,本科,,杭州嘉才企业管理咨询有限公司,http://jobs.zhaopin.com/CC415907010J40498933503.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,6千-9千 · 13薪,宁波-鄞州,经验不限,大专,财务数据分析、销售数据分析,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40358568304.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,1万-2万 · 14薪,宁波-鄞州,1-3年,本科,Python、数据建模、Sql,博威合金,http://jobs.zhaopin.com/CC523879320J40519180707.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
数据分析师,1.5万-2.5万 · 14薪,宁波-鄞州,1-3年,本科,,东莞世材国际人力资源咨询服务有限公司,http://jobs.zhaopin.com/CCL1295301100J40498663505.htm?refcode=4019&srccode=401901&preactionid=faeeb40a-fd75-4ed5-b973-2e5f08979a37
