职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析师,6千-9千 · 13薪,宁波-鄞州,经验不限,大专,财务数据分析、销售数据分析,宁波领拓沃供应链有限公司,http://jobs.zhaopin.com/CCL1293812770J40358568304.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数据运营专员,6千-8千,宁波-海曙,1-3年,本科,电商数据运营、销售数据运营、经营数据分析、直播数据分析、市场数据分析,三生(中国)健康产业有限公司,http://jobs.zhaopin.com/CC142443890J40288802011.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数据分析师（汽车行业）,1.5万-2万,宁波-慈溪,3-5年,本科,Sql,中安润微科技上海,http://jobs.zhaopin.com/CCL1476042980J40510204710.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数据分析员,5千-8千,宁波-北仑,经验不限,本科,市场方向、销售方向,腾龙精线集团有限公司,http://jobs.zhaopin.com/CC649229030J40383690213.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数据经营岗,2万-3万,宁波-江北,1-3年,本科,客户经营、客户分析、经营策略、促提活动策划,宁波力易达人力资源服务有限公司,http://jobs.zhaopin.com/CCL1460298740J40500660110.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
GIS研发工程师,8千-1.4万 · 15薪,宁波-奉化,1-3年,本科,WebGIS开发、三维GIS开发、移动GIS开发、ArcGIS、GeoServer、MapGIS,宁波珈图科技有限公司,http://jobs.zhaopin.com/CCL1475432910J40511762008.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
大数据客户经营部-营销策略岗（营销建模方向）,2万-3.5万,宁波-鄞州,3-5年,本科,,永赢金融租赁有限公司,http://jobs.zhaopin.com/CC237310130J40549063414.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
机器学习算法工程师,1.3万-2万 · 14薪,宁波,1-3年,本科,Python、数据挖掘、数据分析,博威合金,http://jobs.zhaopin.com/CC523879320J40272893207.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数据分析与服务岗,5千-7千 · 14薪,宁波-北仑,1-3年,本科,数据治理、数据挖掘、Python、Sql,天津北海油人力资源咨询服务有限公司宁波分公司,http://jobs.zhaopin.com/CC867987220J40506054703.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
数字化运营专员,4千-5千 · 13薪,宁波-镇海,1-3年,大专,,万物云空间科技服务股份有限公司,http://jobs.zhaopin.com/CCL1309918150J40538306014.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
经营提升岗,6千-7千,宁波-慈溪,1-3年,大专,经营数据分析,宝供物流,http://jobs.zhaopin.com/CC121002690J40513730010.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
软件数据分析师,8千-1.5万,宁波-鄞州,1-3年,本科,Python、SQL、运营数据分析,宁波海尔欣光电科技有限公司,http://jobs.zhaopin.com/CC359961380J40507142709.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
AI机器学习工程师-医药领域经验,2万-4万,宁波-慈溪,经验不限,硕士,Java、Python、PyTorch、TensorFlow、生物信息、统计、计算生物学、数据分析,康龙化成,http://jobs.zhaopin.com/CC120543470J40486600815.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
应届生,5千-8千,宁波-慈溪,经验不限,大专,机器视觉、图像算法、音视频算法、PLC,宁波星河自动化设备有限公司,http://jobs.zhaopin.com/CCL1239501570J40474441913.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
亚马逊数据运营,4千-5千,宁波-鄞州,1-3年,大专,电商数据运营,宁波市鄞州易网信网络科技有限公司,http://jobs.zhaopin.com/CC699335030J40531399407.htm?refcode=4019&srccode=401901&preactionid=beff8e47-ec67-4b4d-93a3-43d8850d679c
