职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
图像算法工程师,1.2万-2.4万 · 13薪,宁波-余姚,3-5年,本科,OpenCV、工业视觉检测、缺陷检测、智能制造、视觉图像算法、图像检测识别、Halcon、Python,宁波明虹智能科技有限公司,http://jobs.zhaopin.com/CCL1407866460J40388068610.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
图像算法工程师,1.5万-2万 · 13薪,宁波-慈溪,1-3年,本科,图形识别,宁波嘉乐智能科技股份有限公司,http://jobs.zhaopin.com/CC234358280J40487390506.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
图像算法工程师,1万-1.5万 · 13薪,宁波-镇海,1-3年,硕士,图像处理,宁波伯锐锶电子束科技有限公司,http://jobs.zhaopin.com/CCL1459314090J40485641202.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
机器学习算法工程师,1.3万-2万 · 14薪,宁波,1-3年,本科,Python、数据挖掘、数据分析,博威合金,http://jobs.zhaopin.com/CC523879320J40272893207.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
深度学习算法工程师,1万-2万,宁波-奉化,经验不限,本科,C++、Python、深度学习算法、视觉图像算法,苏州光创电子科技有限公司,http://jobs.zhaopin.com/CCL1253573550J40454513005.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
算法工程师,2万-4万,宁波-慈溪,1-3年,硕士,,深圳炳峰管理咨询有限公司,http://jobs.zhaopin.com/CC548313120J40377076109.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
算法工程师,1.5万-2.2万,宁波,经验不限,本科,Java、Python、算法基础、深度学习算法、数据挖掘、数据分析,宁波启山科技有限公司,http://jobs.zhaopin.com/CCL1328741550J40471041105.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
五险一金视觉算法工程师,1.5万-2.5万 · 13薪,宁波-余姚,1-3年,本科,C#、PCL、Halcon、工业控制、运动控制,宁波丞达精机股份有限公司,http://jobs.zhaopin.com/CCL1362099370J40489683203.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
电机控制算法工程师（甬江实验室同招）,1.2万-2.4万 · 14薪,宁波-鄞州,1-3年,硕士,电控软件开发、电机驱动器、PMSM、FOC、SVPWM、MTPA控制、弱磁控制、控制算法,宁波诺云驱动科技有限公司,http://jobs.zhaopin.com/CCL1395334070J40423191206.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
算法工程师,6千-8千,宁波-海曙,经验不限,本科,Python、C++、C#、嵌入式技术、深度学习算法,浙江华巡智能科技有限公司,http://jobs.zhaopin.com/CCL1470272830J40479774116.htm?refcode=4019&srccode=401901&preactionid=ca27434b-9163-4063-b399-97b04e8688a1
