职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
AIGC算法,2.5万-4.5万,杭州-余杭,3-5年,本科,Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40495374116.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
isp图像调试工程师,1.5万-3万 · 14薪,杭州-余杭,经验不限,本科,视觉图像算法、PyTorch、TensorFlow、CNN、C++、MATLAB、Python,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40369287207.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
生信部负责人,1.5万-2.5万 · 13薪,杭州-余杭,3-5年,硕士,基因测序、Python、C++、R语言、Perl、C语言,默乐生物,http://jobs.zhaopin.com/CC254265810J40432519609.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
软件开发工程师,面议,杭州-滨江,经验不限,本科,C++、Python、C、Java,华为技术有限公司,http://jobs.zhaopin.com/CC000542940J40519972714.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
杭州算法工程师（银行项目13薪）,1.5万-2.5万 · 13薪,杭州-西湖,3-5年,本科,自然语言处理、TensorFlow、Python、Java,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40496621216.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
机器人ROS软件高级开发,3.5万-4万 · 14薪,杭州-余杭,3-5年,本科,C/C++、A*、运动控制算法、路径规划、导航定位、Python、移动机器人、自动驾驶,台州灵视科技有限公司,http://jobs.zhaopin.com/CCL1420222640J40418068014.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
系统开发工程师（视觉）(A100781),1.5万-2.5万,杭州-滨江,1-3年,本科,C++、Python、视觉,中科创达软件股份有限公司,http://jobs.zhaopin.com/CC285451210J40485489611.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
运维工程师,1.3万-1.4万,杭州-上城,3-5年,本科,Python、Shell、linux,南京华苏科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1300274660J40491354602.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
安全运营工程师（初级）,1.1万-1.8万,杭州-余杭,1-3年,本科,Python、Java、Golang,浙江省公众信息产业有限公司,http://jobs.zhaopin.com/CC147451160J40418338611.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测试开发,2.5万-3.5万 · 16薪,杭州-拱墅,3-5年,本科,Java、Python、C/C++、服务端测试、系统测试、移动端自动化测试,北京贝特展览服务有限公司,http://jobs.zhaopin.com/CC136424350J40522582708.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
软件工程师,1.5万-2万 · 14薪,杭州,1年以下,硕士,C++、Python、架构设计,晶耐科光电,http://jobs.zhaopin.com/CZ896488030J00134192104.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
图像算法工程师,1.5万-2.6万 · 14薪,杭州-萧山,3-5年,本科,Python,杭州集益科技有限公司,http://jobs.zhaopin.com/CC183778810J40457513402.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
软件测试工程师,面议,杭州-滨江,3-5年,本科,功能测试、系统测试、性能测试、Python,浙江大华,http://jobs.zhaopin.com/CC145470510J40551658414.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
fae技术支持工程师,1.3万-1.7万,杭州-滨江,3-5年,大专,C++、Python,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40499201116.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测试工程师,1.2万-1.8万 · 13薪,杭州-余杭,5-10年,本科,Java、Python、自动化测试、性能测试,恩士迅信息科技(中国)有限责任公司,http://jobs.zhaopin.com/CC138904820J40509767708.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
客户端开发工程师（接受23届）,9千-1.2万 · 13薪,杭州-滨江,1-3年,大专,Lua、Python、U3D、Cocos,武汉讯锡云科技有限公司,http://jobs.zhaopin.com/CC566069530J40504800005.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测试开发工程师,1.6万-2.5万 · 15薪,杭州-余杭,1-3年,本科,Java、Python、C/C++、测试开发、旅游,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40501119016.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
CID研发工程师（兼职）,8千-1.2万,杭州-上城,3-5年,大专,Java、Python、C#、Spring、Mybatis、MySQL、Redis、SQLServer、微服务经验、大数据经验,河南日辰控股集团有限公司,http://jobs.zhaopin.com/CCL1460219470J40486987111.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测试工程师,1.1万-1.4万,杭州-上城,1-3年,本科,软件测试、数据测试、接口测试、Java、Python、SQL,卓梦芸创,http://jobs.zhaopin.com/CC464481630J40537076001.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
算法工程师,1.2万-2.1万,杭州-临平,3-5年,本科,Python、算法研究、linux、NumPy、OR—TOOLS运筹、运筹优化算法,广东钰顺数字科技有限公司,http://jobs.zhaopin.com/CCL1419120480J40489998316.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
全栈开发工程师,1.3万-2.6万,杭州-临平,5-10年,硕士,Python、MySQL、React、Node.js、后端开发、全栈开发,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476539609.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
客户端开发工程师（joker事业部）,1.2万-2万 · 13薪,杭州-滨江,1-3年,本科,Python、Lua、游戏引擎、Cocos2d-X、UNREAL、U3D,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40469567106.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
算法工程师,1.2万-2.1万,杭州-临平,3-5年,本科,Python,广东钰顺数字科技有限公司,http://jobs.zhaopin.com/CCL1419120480J40490195616.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
Java开发专家 金融方向 北京/杭州,2.5万-4.5万 · 16薪,杭州-滨江,经验不限,本科,Python、Spring、Hibernate、Struts、Oracle、SQLServer,杭州领慧企业管理咨询有限公司,http://jobs.zhaopin.com/CCL1391762910J40491357302.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
中高级测试工程师,1万-1.3万,杭州-滨江,3-5年,大专,功能测试、性能测试、兼容性测试、Java、Python、Postman、Selenium、Jmeter、linux、MySQL,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40498517106.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
语音算法工程师,2万-3万,杭州-余杭,1-3年,本科,语音信号处理、Python、语音增强,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40492972216.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测试工程师,8千-1.1万,杭州-余杭,3-5年,本科,软件测试、Selenium、Appium、Jmeter、Python、Javascript、Java、数据库,武汉佰钧成技术有限责任公司,http://jobs.zhaopin.com/CC364485720J40432979005.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
对日软件工程师,1万-2万,杭州-西湖,1-3年,大专,Java、PHP、Python、C#、架构设计、Web前端、iOS、Android,LRテックス株式会社,http://jobs.zhaopin.com/CC327770830J40194338410.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
高级测试工程师,1.7万-2.9万,杭州-滨江,5-10年,本科,自动化测试、Python、Shell、linux,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40495166616.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
测开,1.5万-1.9万 · 13薪,杭州-余杭,3-5年,本科,Java、Python、自动化测试,易宝软件科技(南京)有限公司,http://jobs.zhaopin.com/CC509286380J40499963706.htm?refcode=4019&srccode=401901&preactionid=d319e90e-8d7b-4788-87e5-d0cd03124570
