职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
SFE-BP（杭州）,1.2万-2.4万,杭州-拱墅,1-3年,本科,制药/医疗,仙琚制药,http://jobs.zhaopin.com/CC130196500J40277671104.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
商品专员,6千-8千,杭州-拱墅,3-5年,大专,,爱慕股份有限公司,http://jobs.zhaopin.com/CC120135460J40522929207.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
写字楼物业项目经理,1万-1.8万 · 16薪,杭州-滨江,5-10年,大专,写字楼物业、项目整体运营、数据分析、客情维护,深圳市卓越物业管理有限责任公司上海分公司,http://jobs.zhaopin.com/CCL1288234840J40155262910.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
电商平台运营专员,6千-1.2万,杭州-拱墅,1-3年,大专,快消品电商、运营专员、社区用户运营、线上用户运营、社群用户运营、电商运营、销售运营、数据分析,杭州华联商贸有限公司,http://jobs.zhaopin.com/CC364737320J40175285301.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
遗传分析师,8千-1.5万 · 14薪,杭州-钱塘,经验不限,本科,生物统计学、数据库构建、医学、生物医疗、数据挖掘,杭州金诺医学检验实验室有限公司,http://jobs.zhaopin.com/CC323630084J00441171701.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
商品专员,6千-8千,杭州,1-3年,大专,数据分析、商品、商品AD,西纳维思(杭州)服装服饰有限公司,http://jobs.zhaopin.com/CC301056718J90250114000.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
督训/业务督导,8千-1.2万,杭州-上城,3-5年,大专,医疗机构、面销、培训、数据分析,杭州君远健康科技有限公司,http://jobs.zhaopin.com/CC309285280J40510927105.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
运营助理,5千-8千,杭州-滨江,1-3年,大专,音视频平台、运营专员、社群用户运营、数据分析,重庆澜洵方寸建筑装饰工程有限公司,http://jobs.zhaopin.com/CCL1448595610J40469264903.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
遗传咨询主管（医学部）,1.5万-2万 · 13薪,杭州-余杭,3-5年,硕士,数据挖掘、英语6级、医学、分子生物学、生命科学、资料整理、遗传学、基因检测,杭州瑞普基因科技有限公司,http://jobs.zhaopin.com/CC313415180J40526748507.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
留学生辅导金融tutor 课程课后essay线上辅导老师 辅导双语辅导老师视频辅导线上兼职 数据分析,8千-1.5万,杭州-上城,经验不限,本科,法律文件、财经文件、期刊论文,淄博金诺客信息网络科技有限公司,http://jobs.zhaopin.com/CC826929910J40502963701.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
物流tob数据运营（有商务BD经验优先）,7千-8千,杭州-余杭,1-3年,本科,销售数据运营、经营数据分析、市场数据分析、ISV、ERP、BD、数据分析,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40489126816.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
抖音直播间投流手,1.5万-2万,杭州-滨江,1-3年,本科,直播运营、投放策略、直播间投流、数据分析,圆通速递有限公司,http://jobs.zhaopin.com/CC138773160J40512751405.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
直营商品主管,7千-1.2万,杭州-拱墅,3-5年,大专,,浙江英途实业有限公司,http://jobs.zhaopin.com/CC540437523J90250452000.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
商圈经理,6千-1.2万 · 13薪,杭州-上城,3-5年,大专,批发/零售,驰骋控股集团股份有限公司,http://jobs.zhaopin.com/CC881958150J40418464506.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
B端运营专员(J10248),6千-8千,杭州-拱墅,经验不限,本科,直播平台、论坛平台、运营专员、行业数据分析、B端用户运营、直播运营、企业运营、短视频运营、TO B、社群搭建维护、数据分析,杭州新中大科技,http://jobs.zhaopin.com/CC000573040J40476711613.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
企服专员,6千-7千,杭州-萧山,1-3年,大专,企业信息化咨询、咨询项目管理、数据分析,杭州商旗科技有限公司,http://jobs.zhaopin.com/CC641263680J40137309115.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
业务管理岗,5千-7千,杭州-拱墅,3-5年,本科,保险、业务管理,民生人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC145769780J40515045909.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
商品运营专员,7千-1万,杭州-临平,1-3年,本科,数据分析、商品运营,杭州阿雪家服饰有限公司,http://jobs.zhaopin.com/CC583951620J40579851515.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
抖音店铺-运营助理（3C数码）,6千-1.2万,杭州-西湖,1年以下,大专,TO C、数据分析、抖音店铺、3C数码、店铺运营,杭州荣基科技有限公司,http://jobs.zhaopin.com/CC188598410J40465527706.htm?refcode=4019&srccode=401901&preactionid=6d813df7-131e-4fec-8fbd-95c326a99166
