职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
大数据开发工程师,1.3万-1.4万,杭州-钱塘,1-3年,本科,Java、Python、C++、Spark、Hadoop,深圳佳壹信息技术有限公司,http://jobs.zhaopin.com/CCL1467984460J40492231216.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析师,150-200/天,杭州-钱塘,无经验,学历不限,Python、R语言、Java、SQL、SPSS、SAS、MATLAB、Eviews,杭州拓端数据科技有限公司,http://jobs.zhaopin.com/CC428769630J40418906601.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据科学家,1.2万-2.4万,杭州-临平,5-10年,硕士,SQL、R语言、Python、统计学、数据分析、数据挖掘、数据建模,重庆爱永星辰标准医药服务有限公司,http://jobs.zhaopin.com/CC848313620J40476523009.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析,1.4万-2.8万 · 13薪,杭州-西湖,1-3年,本科,Python,中电金信软件有限公司,http://jobs.zhaopin.com/CC443657520J40461834909.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
综合月薪9000起 数据分析助理,1万-2万 · 14薪,杭州-上城,经验不限,本科,没有PUA，下班就走,安徽泰沃兆斯信息科技有限公司,http://jobs.zhaopin.com/CCL1460935100J40413338207.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
中国移动正式员工-数据分析师,1.5万-3万,杭州-上城,3-5年,本科,数据治理、Sql、Python、R语言,浙江外服人力资源服务有限公司,http://jobs.zhaopin.com/CC559618430J40499156002.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
大数据开发工程师,1.2万-1.6万,杭州-萧山,1-3年,本科,大数据开发、Flink、Hive、Hbase,紫金支点,http://jobs.zhaopin.com/CC134171900J40256344211.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
【实习生】大数据开发工程师,120-150/天,杭州-滨江,无经验,本科,数据开发,华诺科技,http://jobs.zhaopin.com/CC143699670J40483467103.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
Java大数据开发工程师（可接受21届/双休）,1万-1.7万,杭州-滨江,1-3年,本科,Java、Spark、Hadoop、Hive、Flink、Kafka,软通动力信息技术(集团)股份有限公司,http://jobs.zhaopin.com/CC000544460J40439991516.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析师（移动项目）,6千-8千,杭州-西湖,1-3年,大专,Python、Sql,河南中杭信息科技有限公司,http://jobs.zhaopin.com/CCL1359078390J40444900806.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
成本数据分析员,8千-1.2万,杭州-钱塘,1-3年,本科,SPSS、Python、SQL,广州伯安数据服务有限公司,http://jobs.zhaopin.com/CCL1411640230J40470837808.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
大数据分析师,1万-1.3万,杭州-上城,1-3年,本科,Python、机器学习、商业数据分析,深圳市申河信息科技有限公司,http://jobs.zhaopin.com/CCL1414332750J40468440212.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
保险数据开发 双休,2.3万-2.5万,杭州-拱墅,5-10年,本科,数据建模、数据架构、数据治理、Python、Java、Scala、Hadoop、Spark、DATAWORKS、阿里云数据、保险,纬创软件,http://jobs.zhaopin.com/CC120817710J40537258101.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析专员,6千-1万 · 13薪,杭州-上城,经验不限,大专,财务数据分析、金融数据分析、关联分析、监控系统,浙江然自芯环保科技有限公司,http://jobs.zhaopin.com/CCL1374719510J40593688215.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据开发,1万-1.8万,杭州-上城,3-5年,本科,ETL,上海申量智能技术有限公司,http://jobs.zhaopin.com/CCL1258340940J40482148804.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
菜鸟-总部经营分析-杭州,1.8万-2.6万 · 16薪,杭州-余杭,1-3年,大专,经营管理、经营分析,浙江菜鸟传橙网络技术有限公司,http://jobs.zhaopin.com/CCL1286383580J40592000915.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据专员,8千-1.3万,杭州-上城,经验不限,本科,SQL、Power BI、Tableau、商业数据分析、金融数据分析、销售数据分析,江西兴峰洋信息科技有限公司,http://jobs.zhaopin.com/CCL1464267660J40441895711.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析研究员（实习）,150-200/天,杭州-滨江,无经验,本科,数据治理,智联猎头,http://jobs.zhaopin.com/CCL1318355140J40501724503.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据员,6千-8千,杭州-上城,经验不限,本科,数据监控,金桥信息,http://jobs.zhaopin.com/CC120347960J40491981811.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据开发,面议,杭州-滨江,5-10年,本科,ETL、Spark、hive、SQL、数仓模型设计、熟悉阿里云DATAWORKS,吉利控股集团,http://jobs.zhaopin.com/CC000616940J40510164208.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
杭州 资深数据开发 AI面试,1.7万-2.2万,杭州-滨江,3-5年,本科,Hive、Spark、底层原理、SQL、性能调优、DATAWORKS、ETL开发、数据中台、Python,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40518076807.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
大数据交付工程师,1.3万-2.3万,杭州-萧山,3-5年,大专,数据迁移、数据搬站、MaxCompute、DATAWORKS、Flink,浩鲸科技,http://jobs.zhaopin.com/CC131936250J40498375516.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据专员-杭州,5千-8千,杭州-上城,1-3年,大专,行业数据分析、经营数据分析,中联即送网络科技有限公司,http://jobs.zhaopin.com/CCL1256805620J40501492805.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
产品运营及分析（数据分析方向),1.5万-3万,杭州-上城,1-3年,本科,数据分析,中国移动通信有限公司在线营销服务中心,http://jobs.zhaopin.com/CCL1317363300J40397009203.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
大数据开发（flink经验）,1万-1.5万,杭州-滨江,3-5年,本科,Flink、SPRING BOOT编程、大数据开发,博彦科技,http://jobs.zhaopin.com/CC000163970J40513370803.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
中国移动正式员工-数据分析师,1.5万-3万,杭州-上城,3-5年,本科,数据治理、Sql、Python、R语言,浙江外服人力资源服务有限公司,http://jobs.zhaopin.com/CC559618430J40499361302.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据清洗,5千-7千,杭州,1年以下,大专,数据清洗,杭州蓝聘网络技术有限公司,http://jobs.zhaopin.com/CCL1319002470J40444164710.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析师,1.2万-2.3万 · 15薪,杭州-西湖,3-5年,本科,数据分析、Python、MySQL、Oracle、数据清洗、SQL,亚信科技,http://jobs.zhaopin.com/CC139131340J40174908611.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
数据分析专员,8千-1万,杭州-滨江,1-3年,本科,熟练使用EXCEL函数、数据敏感、可以根据数据分析结果优化方案,北京悟空出行科技有限公司,http://jobs.zhaopin.com/CC454895830J40586556515.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
链家运营支持主管,9千-1.2万 · 14薪,杭州-萧山,3-5年,本科,SQL、excel、销售数据运营、策略运营,贝壳找房科技有限公司,http://jobs.zhaopin.com/CC300255130J40591655015.htm?refcode=4019&srccode=401901&preactionid=a269fccf-63d5-400c-9959-bddcf88a63d9
