职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
资深雷达算法工程师,2万-4万,杭州-拱墅,经验不限,硕士,非标自动化,浙江兆弟控股有限公司,http://jobs.zhaopin.com/CC310471330J40468871807.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
导航算法工程师（无人机）,2.5万-3.5万,杭州-西湖,3-5年,本科,导航算法、传感器融合、三维定位、卡尔曼滤波、导航系统,南方新华,http://jobs.zhaopin.com/CC346219280J40479721611.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
slam算法工程师,2万-2.5万,杭州-萧山,1-3年,本科,定位算法、导航算法、视频算法、机器人算法、算法研究,江苏瞭望神州大数据科技有限公司,http://jobs.zhaopin.com/CCL1266628910J40481813304.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
通信算法工程师,2.5万-5万 · 15薪,杭州-滨江,5-10年,本科,,杭州长川科技股份有限公司,http://jobs.zhaopin.com/CC300003880J40495419003.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
电商算法工程师,2万-3万,杭州-余杭,1-3年,硕士,Java、Python,江苏虫洞电子商务有限公司,http://jobs.zhaopin.com/CC392378580J40484073610.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
嵌入式电机算法软件工程师,3万-6万 · 15薪,杭州-滨江,1-3年,本科,运动控制算法、C语言、电机算法、电机控制、防夹算法,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40403655012.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
音频算法工程师,1.5万-2.5万 · 14薪,杭州-西湖,1-3年,本科,语音降噪、语音处理、音频编解码、语音信号处理、WebRTC、回声,厦门亿联网络技术股份有限公司,http://jobs.zhaopin.com/CC144503480J40401594407.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
雷达算法专家,面议,杭州-滨江,5-10年,硕士,,浙江大华,http://jobs.zhaopin.com/CC145470510J40554044614.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
嵌入式算法工程师,2.5万-3.5万 · 14薪,杭州-余杭,3-5年,本科,嵌入式软件开发、芯片设计、C语言、算法建模、算法工程化,北京知存科技有限公司,http://jobs.zhaopin.com/CC581607530J40357263507.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
APC项目工程师,1.2万-2万 · 13薪,杭州-上城,3-5年,本科,APC,杭州兰亮网络科技有限公司,http://jobs.zhaopin.com/CC277750880J40444113906.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
路径规划,2万-3.5万,杭州-西湖,1-3年,硕士,路径规划,南方新华,http://jobs.zhaopin.com/CC346219280J40271978611.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
控制算法工程师（研发一部）,1.2万-2.4万,杭州-西湖,1-3年,本科,过程控制算法、机器人算法、智能算法、深度学习、智慧环保、智慧能源、Python,浙江浩普环保工程有限公司,http://jobs.zhaopin.com/CC618264020J40478094808.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
几何算法工程师,2万-4万 · 14薪,杭州-滨江,1-3年,硕士,CAD、几何,深圳十沣科技有限公司,http://jobs.zhaopin.com/CCL1307213750J40435849413.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
视觉算法工程师（汽车电子）(J11915),面议,杭州-滨江,1-3年,硕士,图像算法、视觉图像算法,浙江大华,http://jobs.zhaopin.com/CC145470510J40210222214.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
机器视觉实习工程师,5千-1万,杭州-萧山,经验不限,本科,机器视觉、视觉检测、图像处理、工业视觉、字符识别、3d视觉、VisionPro、相机镜头,杭州普锐视科技有限公司,http://jobs.zhaopin.com/CC541492220J40224115004.htm?refcode=4019&srccode=401901&preactionid=50a0f9cf-870c-409f-bd80-4a06fb7c08c5
