职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
Python开发工程师,5千-8千 · 13薪,温州-龙湾区,经验不限,本科,数据抓取、机器学习、python爬虫、Linux,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40280608612.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
大数据分析工程师,2万-4万 · 15薪,温州-瓯海区,3-5年,硕士,Python,南京敲门人科技有限公司,http://jobs.zhaopin.com/CCL1441836220J40546472112.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
程序员,8千-1.6万,温州,1-3年,本科,C++、SQL、MySQL、Oracle、后端开发、服务器端开发、客户端开发、Visual Studio,温州宏丰,http://jobs.zhaopin.com/CC349016410J40228648208.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
c/c++/java/python/测试工程师,1.8万-3.5万,温州-鹿城区,经验不限,本科,C++、Python、Java,外企德科,http://jobs.zhaopin.com/CC138117190J40268560105.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
"C#,Python,JAVA开发软件工程师",6千-1.2万 · 13薪,温州-龙湾区,经验不限,本科,Python、Java、C#、数据库、C++,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40280588612.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
ai算法工程师,8千-1.5万,温州-乐清市,经验不限,本科,图像处理、计算机视觉、视觉图像算法、C++、Python,东南电子股份有限公司,http://jobs.zhaopin.com/CC841162490J40459240910.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
程序员,5千-8千,温州-乐清市,1-3年,大专,C++、C、C#、PHP,浙江达威电子股份有限公司,http://jobs.zhaopin.com/CCL1205963930J40377695911.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
软件开发岗,1万-2万,温州,经验不限,本科,软件开发、Java、Linux、C#、C++,温州民商银行,http://jobs.zhaopin.com/CC478898510J40405407302.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
数据科学家,7千-1.2万,温州-苍南县,经验不限,学历不限,,温州独步网络科技有限公司,http://jobs.zhaopin.com/CCL1441953920J40526690201.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
对日开发初级技术员到项目经理的全职位招聘,2.5万-5万,温州,1-3年,大专,.NET、C、Java、C#、Python,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40398784313.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
机械臂算法工程师,5千-1万 · 13薪,温州-龙湾区,经验不限,本科,机器人、C#、Python、机器视觉,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40256134312.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
数据专员,4千-6千,温州-乐清市,经验不限,大专,Python、办公软件熟练,百川生物科技股份有限公司,http://jobs.zhaopin.com/CC455451580J40471019711.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
赴日软件工程师（大学毕业生）,1.5万-2万,温州-鹿城区,无经验,本科,.NET、C#、Java、Python、小程序开发、SQL,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40377980713.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
高级数据工程师,4万-7万,温州,5-10年,本科,数据管理、数据分析、项目管理,浙江新兔科技有限公司,http://jobs.zhaopin.com/CC876235940J40490074011.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
研发经理,1.3万-2.2万,温州-鹿城区,经验不限,本科,软件开发、Java、Python、C语言,南京四次元企业管理咨询有限公司,http://jobs.zhaopin.com/CC466217380J40513039709.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
对日软件工程师,1万-2万,温州-龙湾区,1-3年,大专,Java、PHP、Python、C#、架构设计、Web前端、iOS、Android,LRテックス株式会社,http://jobs.zhaopin.com/CC327770830J40195847010.htm?refcode=4019&srccode=401901&preactionid=674e79fe-eb0e-4eb8-b407-5e75f9732f2c
