职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
大数据工程师初/中级-温州银行,1.3万-1.7万,温州-鹿城区,3-5年,大专,,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40586038815.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
大数据分析工程师,8千-1.6万,温州,经验不限,硕士,仪器技术支持,浙江苍南仪表集团股份有限公司,http://jobs.zhaopin.com/CC541519930J40454462315.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
大数据分析工程师,2万-4万 · 15薪,温州-瓯海区,3-5年,硕士,Python,南京敲门人科技有限公司,http://jobs.zhaopin.com/CCL1441836220J40546472112.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
大数据开发工程师,1.1万-2.2万,温州-鹿城区,3-5年,本科,数据开发、银行、软考证书,银科思成信息技术(杭州)有限公司,http://jobs.zhaopin.com/CCL1415578280J40491482110.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
Python开发工程师,5千-8千 · 13薪,温州-龙湾区,经验不限,本科,数据抓取、机器学习、python爬虫、Linux,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40280608612.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
天启猎头推荐——大数据项目经理（银行）,1.5万-2.3万,温州-鹿城区,3-5年,本科,数仓开发,杭州天启企业管理有限公司,http://jobs.zhaopin.com/CC379860620J40473918304.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
大数据项目经理-温州银行,1.7万-2.5万,温州-鹿城区,5-10年,本科,Oracle、MySQL、Java、Scala、Spark、JUPYTER、TensorFlow、hive、Hbase、Teradata,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40586034315.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
数据专员,4千-6千,温州-乐清市,经验不限,大专,Python、办公软件熟练,百川生物科技股份有限公司,http://jobs.zhaopin.com/CC455451580J40471019711.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
高级数据工程师,4万-7万,温州,5-10年,本科,数据管理、数据分析、项目管理,浙江新兔科技有限公司,http://jobs.zhaopin.com/CC876235940J40490074011.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
高级大数据工程师-温州银行,1.7万-2.2万,温州-鹿城区,3-5年,大专,Java、Python、Oracle、MySQL、hive、HHASE、Teradata、Spark,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40586036815.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
数据开发工程师,8千-1.6万,温州,3-5年,大专,Java、数据建模、SQL Server、Oracle、数仓开发,兴机电器集团有限公司,http://jobs.zhaopin.com/CC578941730J40330215913.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
数据分析岗,1.2万-2万,温州-鹿城区,3-5年,本科,金融数据分析,宁波银行温州分行,http://jobs.zhaopin.com/CC737448680J40475519308.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
数据治理岗,1万-2万,温州-瑞安市,5-10年,本科,数据治理、数据架构,华峰集团,http://jobs.zhaopin.com/CC131591860J40521968507.htm?refcode=4019&srccode=401901&preactionid=750fd118-2ebe-49fa-b722-87bfd5fa92cd
