职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗,1.2万-2万,温州-鹿城区,3-5年,本科,金融数据分析,宁波银行温州分行,http://jobs.zhaopin.com/CC737448680J40475519308.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
大数据分析工程师,8千-1.6万,温州,经验不限,硕士,仪器技术支持,浙江苍南仪表集团股份有限公司,http://jobs.zhaopin.com/CC541519930J40454462315.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
数据挖掘岗,6千-8千,温州-鹿城区,经验不限,本科,多元统计分析,中国平安财产保险股份有限公司温州分公司,http://jobs.zhaopin.com/CC560063120J40385479615.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
大数据分析工程师,2万-4万 · 15薪,温州-瓯海区,3-5年,硕士,Python,南京敲门人科技有限公司,http://jobs.zhaopin.com/CCL1441836220J40546472112.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
Python开发工程师,5千-8千 · 13薪,温州-龙湾区,经验不限,本科,数据抓取、机器学习、python爬虫、Linux,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40280608612.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
电商数据分析师,7千-1.2万,温州-苍南县,经验不限,学历不限,,温州独步网络科技有限公司,http://jobs.zhaopin.com/CCL1441953920J40527228501.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
运营实习生【可签三方+提供住宿】,100-200/天,温州-鹿城区,无经验,学历不限,销售教据运营、B端用户运营、线下运营、产品运营、商家运营、B端运营、数据分析,温州讯赢信息技术有限公司,http://jobs.zhaopin.com/CCL1473838890J40541415814.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
高级数据工程师,2万-4万,温州-龙湾区,5-10年,本科,,浙江新兔科技有限公司,http://jobs.zhaopin.com/CC876235940J40489826611.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
数据科学家,7千-1.2万,温州-苍南县,经验不限,学历不限,,温州独步网络科技有限公司,http://jobs.zhaopin.com/CCL1441953920J40526690201.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
综合科科长,7千-8千,温州,3-5年,本科,,海尚集团,http://jobs.zhaopin.com/CC200302320J40549388514.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
计划数据经理,1.5万-2.5万,温州,5-10年,本科,数据挖掘、数据分析、计划管理,浙江新兔科技有限公司,http://jobs.zhaopin.com/CC876235940J40490067111.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
产品数据专员,5千-6千 · 13薪,温州-龙湾区,无经验,本科,运营数据分析,汇润机电有限公司,http://jobs.zhaopin.com/CC450223520J40530216215.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
SAP数据分析工程师,7千-9千,温州-瑞安市,5-10年,大专,SAP数据管理,海尚集团,http://jobs.zhaopin.com/CC200302320J40553553614.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
商品专员,5千-8千,温州-龙湾区,经验不限,大专,熟练使用办公软件、数据分析、沟通组织协调能力,浙江卓诗尼控股有限公司,http://jobs.zhaopin.com/CC295943780J40467766607.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
高级数据工程师,4万-7万,温州,5-10年,本科,数据管理、数据分析、项目管理,浙江新兔科技有限公司,http://jobs.zhaopin.com/CC876235940J40490074011.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
数据专员,4千-6千,温州-乐清市,经验不限,大专,Python、办公软件熟练,百川生物科技股份有限公司,http://jobs.zhaopin.com/CC455451580J40471019711.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
【国企正编-世界五百强：数据督导岗】,6千-8千,温州-鹿城区,经验不限,本科,,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860527J90251680000.htm?refcode=4019&srccode=401901&preactionid=74e4f140-8e4c-4bc5-8ca5-73ab1d510fe5
