职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据开发工程师,8千-1.6万,温州,3-5年,大专,Java、数据建模、SQL Server、Oracle、数仓开发,兴机电器集团有限公司,http://jobs.zhaopin.com/CC578941730J40330215913.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
商品专员,5千-8千 · 13薪,温州-永嘉县,1-3年,本科,服装商品,报喜鸟控股股份有限公司,http://jobs.zhaopin.com/CC132831450J40542239715.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
大数据工程师初/中级-温州银行,1.3万-1.7万,温州-鹿城区,3-5年,大专,,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40586038815.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
数据治理岗,1万-2万,温州-瑞安市,5-10年,本科,数据治理、数据架构,华峰集团,http://jobs.zhaopin.com/CC131591860J40521968507.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
调研工程师,1万-2万 · 15薪,温州-龙湾区,经验不限,本科,市场研究、行业研究、市场信息收集、竞品分析、全职,瑞浦兰钧能源股份有限公司,http://jobs.zhaopin.com/CC709891030J40496775403.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
大数据开发工程师,1.1万-2.2万,温州-鹿城区,3-5年,本科,数据开发、银行、软考证书,银科思成信息技术(杭州)有限公司,http://jobs.zhaopin.com/CCL1415578280J40491482110.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
高级数据治理顾问,2万-4万,温州-瑞安市,经验不限,本科,数据治理、数据运维、数据中台,华峰集团,http://jobs.zhaopin.com/CC131591860J40431594307.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
市场调研评估员/市场调查员-浙江瑞安,0.3千-0.5千元/月,温州-鹿城区,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483005516.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
产业研究员,8千-1.2万,温州-瑞安市,1-3年,本科,专业,永安期货,http://jobs.zhaopin.com/CC141713190J40407730501.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
天启猎头推荐——大数据项目经理（银行）,1.5万-2.3万,温州-鹿城区,3-5年,本科,数仓开发,杭州天启企业管理有限公司,http://jobs.zhaopin.com/CC379860620J40473918304.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
市场调研评估员/市场调查员-浙江乐清,0.3千-0.5千元/月,温州-鹿城区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483007216.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
高级大数据工程师-温州银行,1.7万-2.2万,温州-鹿城区,3-5年,大专,Java、Python、Oracle、MySQL、hive、HHASE、Teradata、Spark,深圳市皓羽科技有限公司,http://jobs.zhaopin.com/CCL1212111050J40586036815.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
海外市场分析,7千-1.4万,温州-鹿城区,3-5年,本科,市场研究、市场信息收集、全职,长城搅拌,http://jobs.zhaopin.com/CC420551480J40521777807.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
市场调研评估员/市场调查员-浙江虹桥镇,0.3千-0.5千元/月,温州-乐清市,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483014316.htm?refcode=4019&srccode=401901&preactionid=e043a98a-d990-4a46-8164-c5fe550b86ae
