职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
ai算法工程师,8千-1.5万,温州-乐清市,经验不限,本科,图像处理、计算机视觉、视觉图像算法、C++、Python,东南电子股份有限公司,http://jobs.zhaopin.com/CC841162490J40459240910.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
算法工程师,1.5万-3万,温州-龙湾区,3-5年,本科,,温州高视雷蒙光电科技有限公司,http://jobs.zhaopin.com/CC860667380J40330701411.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
视觉算法工程师,1万-2万,温州-洞头区,3-5年,本科,视觉图像算法,温州宏丰,http://jobs.zhaopin.com/CC349016410J40387748508.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
机械臂算法工程师,5千-1万 · 13薪,温州-龙湾区,经验不限,本科,机器人、C#、Python、机器视觉,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40256134312.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,1万-2万,温州-龙湾区,1-3年,本科,,一拓(南京)软件信息技术有限公司,http://jobs.zhaopin.com/CCL1294964400J40484975704.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,8千-1.5万 · 13薪,温州-平阳县,经验不限,大专,,温州市诚芯电子有限公司,http://jobs.zhaopin.com/CC492568130J40516859308.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
资深算法工程师,2万-3万 · 13薪,温州-龙湾区,3-5年,本科,MATLAB、汽车电子、ECC、自动驾驶、控制算法、控制器,浙江长江汽车电子有限公司,http://jobs.zhaopin.com/CC408437220J40217771705.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
机械臂算法工程师,5千-1万 · 13薪,温州-龙湾区,经验不限,本科,机器人、C#、Python、机器视觉、C/C++、智能机器人、视觉图像算法、工业机器人,浙江精通自动控制技术有限公司,http://jobs.zhaopin.com/CC343948910J40280587312.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,8千-1.6万,温州,3-5年,本科,嵌入式、芯片、电路、通信、C语言、C#、驱动开发、嵌入式软件开发,瑞安市裕玺转向系统有限公司,http://jobs.zhaopin.com/CC338310080J40230034006.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,5千-1万 · 13薪,温州-瓯海区,经验不限,大专,,温州市诚芯电子有限公司,http://jobs.zhaopin.com/CC492568130J40516859208.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
纹波防夹算法工程师,3万-5万 · 13薪,温州,3-5年,本科,纹波防夹算法、MATLAB、纹波防夹、门窗控制、车身域控、门窗防夹,浙江长江汽车电子有限公司,http://jobs.zhaopin.com/CC408437220J40452815305.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,9千-1.8万,温州,经验不限,本科,嵌入式、电气、C++、物联网、嵌入式软件开发、STM32,温州一卡锁具科技有限公司,http://jobs.zhaopin.com/CC625932420J40249208712.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式软件工程师,1万-2万,温州-乐清市,5-10年,本科,,浙江金汤防务科技有限公司,http://jobs.zhaopin.com/CCL1469810640J40499151602.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
资深软件标定工程师,1.5万-2.5万 · 13薪,温州,1-3年,大专,汽车电子、Autosar、算法、标定、路试、空调控制器、热管理,浙江长江汽车电子有限公司,http://jobs.zhaopin.com/CC408437220J40213578405.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
嵌入式开发工程师,1万-1.5万,温州-瑞安市,1-3年,本科,ARM、嵌入式、单片机、STM32,瑞安市智远自动化设备有限公司,http://jobs.zhaopin.com/CC339263430J00521794908.htm?refcode=4019&srccode=401901&preactionid=000cb8ec-54a0-4a88-9ec5-369d8a7c7304
