职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
计算机视觉实习生,130-190/天,湖州-吴兴区,无经验,本科,视觉图像算法、模式识别、C/C++、Python、Caffe、Keras、MXNet、TensorFlow,浙江大学湖州研究院,http://jobs.zhaopin.com/CCL1305152930J40429414916.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
2024届星乘管培生（数据）,8千-1万 · 15薪,湖州-吴兴区,经验不限,本科,Python、SQL、商业数据分析、运营数据分析、销售数据分析、财务数据分析,中国平安财产保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC151805410J40461353813.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
数据工程师,1.3万-1.8万,湖州-吴兴区,3-5年,大专,Java、数据开发、数仓开发、数据采集、数据清洗,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497203811.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
Net开发工程师（CS）,1.1万-1.6万 · 13薪,湖州,经验不限,大专,C#、英语、软件工程师、Java、MySQL、SQL Server、Oracle,浙江研特科学仪器有限公司,http://jobs.zhaopin.com/CCL1413604840J40437034904.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
中级 ETL 开发工程师（浙江湖州）,8千-1.1万,湖州-吴兴区,经验不限,本科,Python、SQL、Oracle、数据开发、公安、驻场,启明星辰信息技术集团股份有限公司,http://jobs.zhaopin.com/CC300353980J40531847401.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
对日开发初级技术员到项目经理的全职位招聘,2.5万-5万,湖州,1-3年,大专,.NET、C、Java、C#、Python,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165785J00533307603.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
开发顾问,8千-1.5万,湖州,经验不限,本科,.Net、Python,湖州金云蝶数智技术有限公司,http://jobs.zhaopin.com/CC241621710J40229371405.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
数据工程师,5千-9千,湖州-德清县,1-3年,大专,数据库、数据库开发、数据挖掘、数据处理、数据分析,浙江中测时空科技有限公司,http://jobs.zhaopin.com/CC270162580J40418228902.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
对日开发初级技术员到项目经理的全职位招聘,2.5万-5万,湖州,1-3年,大专,.NET、C、Java、C#、Python,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40398747913.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
数据处理工程师-JF,5千-7千,湖州,1-3年,本科,ERDAS、地理信息、ARCGJS、INPHO、测绘工程,北京国遥新天地信息技术股份有限公司,http://jobs.zhaopin.com/CC120487487J00095444814.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
算法工程师,1万-1.5万,湖州-吴兴区,经验不限,本科,机器学习、Python、C++、Java,中科宇图,http://jobs.zhaopin.com/CC000588420J40507814012.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
招云计算运维工程师见习岗（双休+社保+晋升）,5千-6千,湖州-吴兴区,经验不限,本科,IDC/机房运维、系统运维、服务器运维、Nginx、Tomcat、Kubernetes、Shell、Python、Perl,中宇数科(北京)科技有限公司,http://jobs.zhaopin.com/CCL1365249260J40542230901.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
EAP工程师,1.2万-1.5万 · 15薪,湖州-吴兴区,3-5年,本科,C#、Java,湖州见闻录科技有限公司,http://jobs.zhaopin.com/CCL1256512560J40452456016.htm?refcode=4019&srccode=401901&preactionid=cc0b8c07-9d77-4bae-900a-71fac9016545
