职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据工程师,1.3万-1.8万,湖州-吴兴区,3-5年,大专,Java、数据开发、数仓开发、数据采集、数据清洗,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497203811.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据处理工程师-JF,5千-7千,湖州,1-3年,本科,ERDAS、地理信息、ARCGJS、INPHO、测绘工程,北京国遥新天地信息技术股份有限公司,http://jobs.zhaopin.com/CC120487487J00095444814.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,5千-9千,湖州-德清县,1-3年,大专,数据库、数据库开发、数据挖掘、数据处理、数据分析,浙江中测时空科技有限公司,http://jobs.zhaopin.com/CC270162580J40418228902.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
中级 ETL 开发工程师（浙江湖州）,8千-1.1万,湖州-吴兴区,经验不限,本科,Python、SQL、Oracle、数据开发、公安、驻场,启明星辰信息技术集团股份有限公司,http://jobs.zhaopin.com/CC300353980J40531847401.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
调度策略（数据分析0,6千-9千 · 14薪,湖州-吴兴区,3-5年,本科,数据报表,圣都家居装饰有限公司,http://jobs.zhaopin.com/CC444906230J40505417810.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
ai训练师/数据标注,4千-8千,湖州-安吉县,经验不限,大专,图像标注、文本标注、可短期工/寒假工,上海优泉人力资源有限公司,http://jobs.zhaopin.com/CC649562030J40515889010.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,9千-1.1万,湖州-吴兴区,3-5年,大专,Java、ETL、数据库,上海安幕智能科技有限公司,http://jobs.zhaopin.com/CCL1438798170J40559770014.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
2024届星乘管培生（数据）,8千-1万 · 15薪,湖州-吴兴区,经验不限,本科,Python、SQL、商业数据分析、运营数据分析、销售数据分析、财务数据分析,中国平安财产保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC151805410J40461353813.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据分析岗（正式内勤编制）,6千-1万,湖州-吴兴区,经验不限,本科,excel、行业数据分析,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40077426112.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,1万-1.3万,湖州-吴兴区,3-5年,大专,Java、数据治理、Oracle、MySQL、ETL,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497202811.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
电商专员,8千-1.2万,湖州,1年以下,大专,销售数据运营,浙江华美电器制造有限公司,http://jobs.zhaopin.com/CC145391240J40579932115.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,6千-1.1万,湖州-吴兴区,1-3年,大专,ETL、Java,上海安幕智能科技有限公司,http://jobs.zhaopin.com/CCL1438798170J40559761714.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,1.3万-2.3万,湖州-吴兴区,1-3年,学历不限,Java、数据库、ETL开发,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497200011.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据处理工程师,130-180/天,湖州-德清县,无经验,本科,图形图像处理、ArcGlS,航天宏图信息技术股份有限公司,http://jobs.zhaopin.com/CC238566510J40482973506.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
三维webgis开发工程师,1万-1.8万 · 14薪,湖州-德清县,1-3年,本科,Leaflet、ArcGlS,浙江中海达空间信息技术有限公司,http://jobs.zhaopin.com/CC292276580J40464650204.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,1.2万-1.3万,湖州-吴兴区,1-3年,学历不限,数据治理、Oracle、Java、ETL开发,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497209211.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
GIS开发工程师（应届）,8千-1.2万,湖州-德清县,经验不限,本科,C#,浙江中海达空间信息技术有限公司,http://jobs.zhaopin.com/CC292276580J40478453204.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
数据工程师,1万-1.2万,湖州-吴兴区,3-5年,学历不限,数据治理、ETL开发、数据建模、Java、Oracle、MySQL,北京五一深度信息技术有限公司,http://jobs.zhaopin.com/CC867227980J40497204211.htm?refcode=4019&srccode=401901&preactionid=eae6f4bd-e64e-4596-84e6-adfca2f13f9c
