职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
slam算法工程师,1.2万-2万,湖州-长兴县,1-3年,硕士,导航算法、机器人算法,诺力智能装备股份有限公司,http://jobs.zhaopin.com/CC423500430J40553965412.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
遥感应用工程师,1万-1.5万,湖州-吴兴区,经验不限,本科,遥感,中科宇图,http://jobs.zhaopin.com/CC000588420J40510074512.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
嵌入式开发工程师,8千-1.4万,湖州-吴兴区,经验不限,学历不限,嵌入式、机器人项目开发经验、C语言,浙江大学湖州研究院,http://jobs.zhaopin.com/CCL1305152930J40491919116.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
SLAM建图与定位算法工程师/专家,1.5万-3万,湖州-长兴县,1-3年,硕士,机器人算法、定位算法,诺力智能装备股份有限公司,http://jobs.zhaopin.com/CC423500430J40550735212.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
嵌入式软件工程师（AI视觉方向）Linux,1.5万-2万,湖州-吴兴区,3-5年,本科,,浙江晶日科技股份有限公司,http://jobs.zhaopin.com/CC192303010J40575171915.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
算法工程师,1万-1.5万,湖州-吴兴区,经验不限,本科,机器学习、Python、C++、Java,中科宇图,http://jobs.zhaopin.com/CC000588420J40507814012.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
软件/算法工程师（热流成像）,8千-1.5万,湖州-吴兴区,1-3年,本科,C++、Python、MATLAB、QT/OPEN CV、LabVIEW、图像处理算法、软件界面程序开发、测试、PyTorch,浙江大学湖州研究院,http://jobs.zhaopin.com/CCL1305152930J40321159616.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
单片机嵌入式软件,1.2万-1.8万,湖州-吴兴区,经验不限,本科,嵌入式软件研发,浙江晶日科技股份有限公司,http://jobs.zhaopin.com/CC192303010J40582564115.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
算法工程师,8千-1.3万,湖州-吴兴区,1-3年,本科,PyTorch、C++、TensorFlow、CNN、DNN、LSTM、Xgboost、Transformer,中科宇图,http://jobs.zhaopin.com/CC000588420J40444381512.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
人工智能与数学研究人员（浙江）,1.3万-2.5万 · 13薪,湖州-德清县,经验不限,硕士,人工智能、数学、统计学、计算机科学、脑科学、认知科学、生物医学工程,我武生物,http://jobs.zhaopin.com/CC130716010J40400433612.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
嵌入式软件工程师（AI视觉方向）Linux,1.5万-2万,湖州-吴兴区,3-5年,本科,PIC单片机、ARM处理器,浙江晶日科技股份有限公司,http://jobs.zhaopin.com/CC192303010J40575172115.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
嵌入式软件工程师,1万-1.8万 · 13薪,湖州-吴兴区,3-5年,本科,PIC单片机、c,湖州微蜂新能源科技有限公司,http://jobs.zhaopin.com/CCL1324205040J40459755313.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
激光雷达算法工程师,1.6万-2.6万,湖州-德清县,3-5年,硕士,视觉图像算法、算法研究、TensorFlow、DNN、Swift,浙江允聪信息科技有限责任公司,http://jobs.zhaopin.com/CCL1475974470J40490633106.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
嵌入式软件工程师（AI视觉方向）Linux,1.8万-2.5万,湖州-吴兴区,3-5年,本科,有IPC相关成功项目开发经验、精通LINUX平台下系统构建、GB28181协议开发,浙江晶日科技股份有限公司,http://jobs.zhaopin.com/CC192303010J40575177115.htm?refcode=4019&srccode=401901&preactionid=0fac4bcf-4ffe-44f6-b184-65457486bdd0
