职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
少儿编程教师/Python教师（双休+六险一金）,8千-1.2万,绍兴-柯桥区,1-3年,本科,Python、C/C++,新东方教育科技集团有限公司,http://jobs.zhaopin.com/CC120002360J40478176902.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
机器视觉工程师,1.7万-3万,绍兴-新昌县,经验不限,硕士,图像处理、视觉图像算法、推荐算法、搜索算法、视频算法、运动控制算法、Python、VR/AR,绍兴中砥数字科技有限公司,http://jobs.zhaopin.com/CCL1438175970J40448409915.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
软件工程师（全栈）,7千-1.2万,绍兴-柯桥区,经验不限,本科,,浙江国正安全技术有限公司,http://jobs.zhaopin.com/CC382576030J40486876716.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
招应往届生见习云计算运维工程师（双休+社保）,5千-6千,绍兴-柯桥区,经验不限,本科,IDC/机房运维、系统运维、服务器运维、Tomcat、Kubernetes、Nginx、Python、Java、GoLang,中宇数科(北京)科技有限公司,http://jobs.zhaopin.com/CCL1365249260J40543558901.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
软件研发工程师,1万-2万 · 13薪,绍兴-诸暨市,1-3年,本科,Python、C++、图像开发,诸暨玛雅电器机械有限公司,http://jobs.zhaopin.com/CC399210520J40218288910.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
软件开发工程师,1.6万-2万,绍兴-柯桥区,1-3年,本科,C++,浙江通大会计师事务所(普通合伙),http://jobs.zhaopin.com/CCL1456987040J40455854911.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
视觉算法工程师,1.4万-2.5万 · 14薪,绍兴-上虞区,1-3年,本科,视觉图像算法、PyTorch、C/C++、Python、C#,东莞精锐人力资源有限公司,http://jobs.zhaopin.com/CC856020400J40462873004.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
.NET平台b/s架构开发工程师,4千-8千,绍兴-上虞区,经验不限,大专,C#、HTML、SQL、多线程、消息队列、微服务架构、软件工程师、中级软件工程师、Windows、ASP.NET、WCF,上海布恩信息科技有限公司,http://jobs.zhaopin.com/CCL1471487210J40556627715.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
AI机器学习工程师-医药领域经验,2万-4万,绍兴-上虞区,经验不限,硕士,Java、Python、PyTorch、TensorFlow、生物信息、统计、计算生物学、数据分析,康龙化成,http://jobs.zhaopin.com/CC120543470J40486601015.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
软件工程师,8千-1.5万,绍兴,1-3年,本科,C#,融联智能科技(浙江)有限公司,http://jobs.zhaopin.com/CCL1311431460J40487815007.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
对日开发初级技术员到项目经理,2.5万-5万,绍兴-越城区,无经验,本科,.NET、C#、Java、Python、小程序开发、SQL,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40377981113.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
初级嵌入式软件工程师,8千-1.2万 · 19薪,绍兴-越城区,经验不限,本科,嵌入式、C++、嵌入式Linux、C语言、FreeRTOS、驱动开发、Python,浙江迪捷软件科技有限公司,http://jobs.zhaopin.com/CCL1241808600J40284031516.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
深度学习算法工程师【工作地点：浙江绍兴】,1.8万-2.5万,绍兴-柯桥区,3-5年,硕士,C++、Python、深度学习算法、视觉图像算法,山东鲲勋安检科技有限公司,http://jobs.zhaopin.com/CC887886360J40487417314.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
系统架构师,1.8万-2.6万,绍兴-越城区,3-5年,本科,Java、Python、SQL、微服务架构、算法基础、数据结构、Vue、SpringBoot、Spring,上海缔梧文化传媒有限公司,http://jobs.zhaopin.com/CC701944180J40521149208.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
推杆工程师（医疗）,1万-2万,绍兴-新昌县,5-10年,本科,MapReduce、数据建模、图像处理、Python、C/C++,浙江捷昌线性驱动科技股份有限公司,http://jobs.zhaopin.com/CC710407320J40241644407.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
后端开发工程师,8千-1.5万 · 13薪,绍兴-新昌县,3-5年,大专,SpringBoot、后端开发、Redis、MySQL、线上生活服务,浙江追地道信息科技有限公司,http://jobs.zhaopin.com/CCL1468171020J40430673011.htm?refcode=4019&srccode=401901&preactionid=c1dd7ad0-6f97-4e8c-a128-ff9b4b281770
