职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
大数据部门副总经理,1.3万-2.5万 · 13薪,绍兴-诸暨市,3-5年,本科,团队管理、项目管理,浙江智咖互联网科技有限公司,http://jobs.zhaopin.com/CC459584530J40443382416.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据分析岗,5千-8千 · 16薪,绍兴,经验不限,本科,office,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860527J90250865000.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
博士后（电气）,1.8万-3万 · 15薪,绍兴-越城区,经验不限,博士,电气电力、通信设备、光学研究、软件行业、通信设计、无线通信、网络安全、大数据,浙江大学绍兴研究院,http://jobs.zhaopin.com/CCL1406588970J40394892012.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据开发工程师,1万-2万,绍兴-柯桥区,1-3年,本科,Python、数据建模、SQL,浙江米多企业管理有限公司,http://jobs.zhaopin.com/CCL1476813460J40470443813.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据分析师,6千-1万 · 13薪,绍兴-柯桥区,3-5年,本科,数据分析、大数据分析,浙江凯利新材料股份有限公司,http://jobs.zhaopin.com/CC202402910J40131349402.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据分析师,6千-9千 · 14薪,绍兴-新昌县,3-5年,本科,数据治理,浙江日发控股集团有限公司,http://jobs.zhaopin.com/CC133717340J40503618705.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据分析师,6千-1万 · 14薪,绍兴-新昌县,3-5年,本科,数据治理、数据挖掘,安徽日发纺织机械有限公司,http://jobs.zhaopin.com/CC692430220J40550512114.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
结构强度分析/有限元分析（绍兴诸暨）,8千-1.5万,绍兴-诸暨市,1-3年,硕士,行业分析、机器学习、多元统计分析、SPSS,浙江巨马游艺机有限公司,http://jobs.zhaopin.com/CC216960310J40381608016.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据库运维工程师,5千-6千 · 13薪,绍兴-越城区,1-3年,大专,SQL、MySQL、Oracle、增删改查、Kettle、数据统计汇总、信用修复、网站维护、系统运维,杭州久烁网络科技有限公司,http://jobs.zhaopin.com/CCL1246328260J40493202208.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
数据专员,3千-5千,绍兴-诸暨市,经验不限,大专,,绍兴捷杰网络科技有限公司,http://jobs.zhaopin.com/CC516165130J40503210605.htm?refcode=4019&srccode=401901&preactionid=ae712b06-caa6-45e5-b1fc-64e36a36880e
