职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗,5千-8千 · 16薪,绍兴,经验不限,本科,office,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860527J90250865000.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
数据分析师,6千-1万 · 13薪,绍兴-柯桥区,3-5年,本科,数据分析、大数据分析,浙江凯利新材料股份有限公司,http://jobs.zhaopin.com/CC202402910J40131349402.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
数据分析师,6千-1万 · 14薪,绍兴-新昌县,3-5年,本科,数据治理、数据挖掘,安徽日发纺织机械有限公司,http://jobs.zhaopin.com/CC692430220J40550512114.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
数据分析师,6千-9千 · 14薪,绍兴-新昌县,3-5年,本科,数据治理,浙江日发控股集团有限公司,http://jobs.zhaopin.com/CC133717340J40503618705.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
产品运营助理,5千-1万,绍兴-越城区,经验不限,本科,市场调研、数据分析,浙江吉宠商贸有限公司,http://jobs.zhaopin.com/CCL1408616630J40464667408.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
AI机器学习工程师-医药领域经验,2万-4万,绍兴-上虞区,经验不限,硕士,Java、Python、PyTorch、TensorFlow、生物信息、统计、计算生物学、数据分析,康龙化成,http://jobs.zhaopin.com/CC120543470J40486601015.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
结构强度分析/有限元分析（绍兴诸暨）,8千-1.5万,绍兴-诸暨市,1-3年,硕士,行业分析、机器学习、多元统计分析、SPSS,浙江巨马游艺机有限公司,http://jobs.zhaopin.com/CC216960310J40381608016.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
商品助理,4千-5千,绍兴-诸暨市,经验不限,大专,,浙江鲲驰互联科技有限公司,http://jobs.zhaopin.com/CCL1319966780J40556950414.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
数据专员,3千-5千,绍兴-诸暨市,经验不限,大专,,绍兴捷杰网络科技有限公司,http://jobs.zhaopin.com/CC516165130J40503210605.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
文员,3千-5千,绍兴-越城区,经验不限,大专,数据分析,上海具力私募基金管理有限公司,http://jobs.zhaopin.com/CCL1360691960J40389722303.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
亚马逊运营,7千-1.4万,绍兴-柯桥区,1-3年,大专,跨境电商、亚马逊运营、数据分析、竞品分析,浙江诗梵尼贸易有限公司,http://jobs.zhaopin.com/CC380366880J90250026000.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
运营经理/销售管理/连锁店运营,1万-1.5万,绍兴-嵊州市,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40530603012.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
数据开发工程师,1万-2万,绍兴-柯桥区,1-3年,本科,Python、数据建模、SQL,浙江米多企业管理有限公司,http://jobs.zhaopin.com/CCL1476813460J40470443813.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
能源战略政策研究分析专员,1万-1.6万 · 15薪,绍兴-越城区,经验不限,硕士,市场研究、行业研究、市场信息收集、企业调研、定量研究、定性研究、回归分析、多元统计分析,浙江大学绍兴研究院,http://jobs.zhaopin.com/CCL1406588970J40378270612.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
市场调研评估员/市场调查员-浙江绍兴,300-500元/天,绍兴-越城区,经验不限,大专,市场调研、神秘顾客、兼职,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40499108616.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
市场分析专员,6千-8千,绍兴-上虞区,1-3年,本科,市场信息收集、市场研究、用户调研、竞品分析,新疆蓝山屯河科技股份有限公司,http://jobs.zhaopin.com/CC269539810J40456006103.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
投资顾问,8千-1.6万,绍兴-越城区,经验不限,本科,证券从业资格证、基金从业资格证、投资分析、股票市场、基金市场,广发证券股份有限公司绍兴云东路证券营业部,http://jobs.zhaopin.com/CC375519080J40441780215.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
市场调研评估员/市场调查员-浙江省绍兴市柯桥区钱门大道181号金帝星隆城,300-600元/天,绍兴-柯桥区,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483017516.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
市场调研评估员/市场调查员-浙江嵊州,0.3千-0.5千元/月,绍兴-越城区,经验不限,大专,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483010316.htm?refcode=4019&srccode=401901&preactionid=860e0018-a47c-4bc4-a010-da45086469cb
