职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
视觉算法工程师,1.4万-2.5万 · 14薪,绍兴-上虞区,1-3年,本科,视觉图像算法、PyTorch、C/C++、Python、C#,东莞精锐人力资源有限公司,http://jobs.zhaopin.com/CC856020400J40462873004.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
深度学习算法工程师【工作地点：浙江绍兴】,1.8万-2.5万,绍兴-柯桥区,3-5年,硕士,C++、Python、深度学习算法、视觉图像算法,山东鲲勋安检科技有限公司,http://jobs.zhaopin.com/CC887886360J40487417314.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
初级嵌入式软件工程师,8千-1.2万 · 19薪,绍兴-越城区,经验不限,本科,嵌入式、C++、嵌入式Linux、C语言、FreeRTOS、驱动开发、Python,浙江迪捷软件科技有限公司,http://jobs.zhaopin.com/CCL1241808600J40284031516.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式软件工程师,2万-3万 · 13薪,绍兴-越城区,3-5年,大专,中控,世猎(上海)人力资源有限公司,http://jobs.zhaopin.com/CCL1407138080J40496172502.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式软件工程师,1.5万-2.5万,绍兴-新昌县,3-5年,本科,嵌入式、物联网、单片机,浙江捷昌线性驱动科技股份有限公司,http://jobs.zhaopin.com/CC710407320J40241640707.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式系统工程师,1.2万-1.6万 · 14薪,绍兴-越城区,5-10年,本科,单片机、ARM处理器、FPGA、电路设计,天津大学浙江国际创新设计与智造研究院,http://jobs.zhaopin.com/CCL1354097720J40541707201.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式软件开发工程师,2.1万-4万,绍兴-越城区,3-5年,本科,8位单片机、32位单片机、PIC单片机,世猎(上海)人力资源有限公司,http://jobs.zhaopin.com/CCL1407138080J40489455202.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式软件工程师(J10041),1万-1.5万,绍兴-新昌县,1-3年,本科,C语言、智能家居、嵌入式软件开发、华大,浙江捷昌线性驱动科技股份有限公司,http://jobs.zhaopin.com/CC710407320J40301880707.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
中级嵌入式软件工程师,1.5万-2.5万 · 19薪,绍兴-越城区,3-5年,本科,嵌入式软件开发、C++、C语言、FreeRTOS,浙江迪捷软件科技有限公司,http://jobs.zhaopin.com/CCL1241808600J40277925416.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式工程师,6千-1.2万,绍兴-上虞区,1-3年,大专,32位单片机、8位单片机、PIC单片机,上海默律电子科技有限公司,http://jobs.zhaopin.com/CC824824910J40499148608.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
嵌入式开发工程师,5千-9千,绍兴-新昌县,1-3年,大专,linux、嵌入式、驱动,志趋汽车科技(浙江)有限公司,http://jobs.zhaopin.com/CCL1427145530J40514248909.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
高级嵌入式软件工程师,2.5万-5万 · 19薪,绍兴-越城区,5-10年,本科,嵌入式、架构设计、ARM、嵌入式Linux、C++、Shell,浙江迪捷软件科技有限公司,http://jobs.zhaopin.com/CCL1241808600J40317892216.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
机器视觉工程师,1.7万-3万,绍兴-新昌县,经验不限,硕士,图像处理、视觉图像算法、推荐算法、搜索算法、视频算法、运动控制算法、Python、VR/AR,绍兴中砥数字科技有限公司,http://jobs.zhaopin.com/CCL1438175970J40448409915.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
视觉装备系统调试工程师,5千-1万,绍兴-诸暨市,经验不限,大专,C++、C语言、图像识别产品,浙江航视智能科技有限公司,http://jobs.zhaopin.com/CCL1470674720J40490560702.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
视觉应用工程师,6千-1.2万 · 14薪,绍兴-新昌县,3-5年,本科,视觉图像算法、搜索算法、视频算法、模式识别、图像检测识别,浙江康立自控科技有限公司,http://jobs.zhaopin.com/CC769911080J40393352007.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
AI机器学习工程师-医药领域经验,2万-4万,绍兴-上虞区,经验不限,硕士,Java、Python、PyTorch、TensorFlow、生物信息、统计、计算生物学、数据分析,康龙化成,http://jobs.zhaopin.com/CC120543470J40486601015.htm?refcode=4019&srccode=401901&preactionid=9b4c3f7b-b296-42d5-885f-d93b4b812a6f
