职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
Python开发工程师,5千-1万,金华-婺城区,1-3年,本科,Oracle、Python、咨询,上海博英信息科技有限公司,http://jobs.zhaopin.com/CC311557120J40491887305.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
Java开发实习生,3千-6千,金华,经验不限,本科,Java、Python、SQL,金华青鸟计算机信息技术有限公司,http://jobs.zhaopin.com/CC219579730J40193884811.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
对日开发初级技术员到项目经理的全职位招聘,2.5万-5万,金华-义乌市,1-3年,大专,.NET、C、Java、C#、Python,株式会社ProfaceSystems,http://jobs.zhaopin.com/CC579165780J40377985113.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
小程序开发,5千-1万,金华-东阳市,1-3年,大专,JavaScript、视频类小程序、Python、Golang,东阳市比翼鸟影视制作有限公司,http://jobs.zhaopin.com/CCL1452586110J40469475710.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
C#金蝶二次开发,1万-2万 · 13薪,金华-东阳市,1-3年,大专,Python、.Net、C、MySQL、SQL Server,金华市喆云信息科技有限公司,http://jobs.zhaopin.com/CCL1468824490J40465299108.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
软件工程师（金华）,5千-7千,金华-金东区,无经验,本科,Java、C#、linux、Shell、C,同方股份有限公司,http://jobs.zhaopin.com/CC120155260J40467520911.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
MES开发工程师/高工/资工,1.2万-2.4万 · 15薪,金华-义乌市,1-3年,本科,,浙江爱旭太阳能科技有限公司,http://jobs.zhaopin.com/CC721259980J40480869811.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
初级运维工程师,3千-6千,金华-义乌市,1-3年,大专,系统运维、Linux、Windows、Python、Nginx、安全运维、服务器配置、虚拟机技术,上海驮龙物流有限公司,http://jobs.zhaopin.com/CCL1369719050J40335873407.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
高级.net工程师/架构师,7千-1.1万,金华-永康市,3-5年,本科,.NET、架构师,步阳集团有限公司,http://jobs.zhaopin.com/CC140795490J40494563111.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
软件工程师,1万-2万,金华,3-5年,大专,嵌入式软件开发、电路设计、单片机开发,金华市蓝海光电技术有限公司,http://jobs.zhaopin.com/CC528978220J40318386302.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
测试工程师,6千-1.2万,金华-义乌市,1-3年,大专,系统测试、安全测试、Windows、Linux、Python、服务器配置、Nginx,上海驮龙物流有限公司,http://jobs.zhaopin.com/CCL1369719050J40325791207.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
软件开发工程师,1.5万-2万,金华-兰溪市,5-10年,本科,VHDL、Verilog、SV语言,欣旺达电子,http://jobs.zhaopin.com/CC135947830J40297507311.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
数据开发工程师,1.5万-2.5万,金华-金东区,3-5年,本科,数据治理、ETL、Python,上海亿戈网络科技有限公司,http://jobs.zhaopin.com/CCL1211316810J40477116304.htm?refcode=4019&srccode=401901&preactionid=1567cbdf-0a79-489f-8120-3c7efc3e7314
