职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析岗（国有正式编制）,6千-1万 · 15薪,金华-金东区,经验不限,本科,,新华人寿保险股份有限公司浙江分公司,http://jobs.zhaopin.com/CC148860520J40502199112.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
数据分析+管培生,1万-1.5万,金华-义乌市,经验不限,本科,职能方向、市场方向、IT技术研发方向、人资方向、运营方向、商务方向,江西星函企业管理有限公司,http://jobs.zhaopin.com/CCL1322411260J40437639111.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
大数据分析员,5千-6千,金华-婺城区,1-3年,大专,数据分析,金华市功润时装有限责任公司,http://jobs.zhaopin.com/CCL1461264820J40491939216.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
统计分析员（义乌）,5千-8千,金华-义乌市,经验不限,大专,数据统计分析,上海驮龙物流有限公司,http://jobs.zhaopin.com/CCL1369719050J40325798507.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
经营分析员(J10303),5千-6千,金华-义乌市,经验不限,本科,经营分析,浙江森山生物科技有限公司,http://jobs.zhaopin.com/CC629833930J40522001209.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
急急招市场分析专员双休,7千-1.2万,金华-金东区,1-3年,本科,,顺丰速运,http://jobs.zhaopin.com/CC131486150J40546267914.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
采购经理（外贸业务端口，数据+流行趋势分析）,1.2万-1.8万,金华-义乌市,3-5年,大专,英语、西班牙语,上海勋厚人力资源有限公司,http://jobs.zhaopin.com/CC342985980J40520462109.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
数据员,4千-5千,金华-义乌市,1-3年,大专,数据统计,义乌市申通快递有限公司,http://jobs.zhaopin.com/CC216029710J40234669813.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
亚马逊运营助理接受小白,4千-8千,金华,经验不限,大专,英语、运营经理、运营专员、店铺推广、跨境电商运营、电商运营、数据分析、德语,义乌市库西国际贸易有限公司,http://jobs.zhaopin.com/CCL1238417970J40416525501.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
销售运营专员,8千-1.6万,金华-金东区,1-3年,本科,数据分析、过程推动,顺丰速运,http://jobs.zhaopin.com/CC131486150J40544652614.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
仓储文员,5千-6千 · 13薪,金华-金东区,1-3年,高中,数据分析、excel,亚飞电商,http://jobs.zhaopin.com/CC283759520J40592623215.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
经营分析,1.5万-3万 · 15薪,金华-义乌市,5-10年,本科,经营分析,浙江爱旭太阳能科技有限公司,http://jobs.zhaopin.com/CC721259980J40475989711.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
运营经理/销售管理/连锁店运营,1.1万-1.8万,金华-永康市,3-5年,大专,运营管理、市场营销、加盟管理、巡店管理、门店管理、业务培训、人员管理、岗位培训、数据分析、市场信息收集,浙江未来万家五金机电有限公司,http://jobs.zhaopin.com/CC443980210J40546139712.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
产品开发总监,1万-1.5万,金华,5-10年,大专,产品设计、产品运营、项目管理、产品团队管理、数据分析、需求分析、产品规划,金华市百和饰品股份有限公司,http://jobs.zhaopin.com/CCL1286795300J40415944211.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
秘书/文员,5千-6千,金华-义乌市,1年以下,大专,数据分析,上海驮龙物流有限公司,http://jobs.zhaopin.com/CCL1369719050J40364734207.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
经营分析高级经理,3.5万-4.5万 · 15薪,金华-义乌市,10年以上,本科,经营分析,浙江爱旭太阳能科技有限公司,http://jobs.zhaopin.com/CC721259980J40475188611.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
数据产品经理,7千-8千 · 13薪,金华-义乌市,3-5年,本科,需求分析、数据分析、产品运营,义乌市瑞飞进出口有限公司,http://jobs.zhaopin.com/CC818794800J40505489210.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
新媒体运营,4千-6千,金华-东阳市,1-3年,大专,软文推广、论坛推广、app推广、数据分析、文案撰写、微信推广,东阳市崇光百货有限公司,http://jobs.zhaopin.com/CC619910420J00475297103.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
数据开发工程师,1.5万-2.5万,金华-金东区,3-5年,本科,数据治理、ETL、Python,上海亿戈网络科技有限公司,http://jobs.zhaopin.com/CCL1211316810J40477116304.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
市场研究专员,8千-1.6万,金华-金东区,3-5年,本科,市场信息收集、用户分析、市场研究、用户调研、行业研究,顺丰速运,http://jobs.zhaopin.com/CC131486150J40547129914.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
市场调研评估员/市场调查员-浙江省金华市婺城区李渔路1313号金华之心银泰百货,300-600元/天,金华-婺城区,经验不限,高中,市场调研、兼职、神秘顾客,上海信天翁联业商务咨询有限公司,http://jobs.zhaopin.com/CC141184720J40483013916.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
市场发展经理,1万-1.5万,金华-永康市,1-3年,本科,市场研究、行业研究,浙江金汇五金产业集团有限公司,http://jobs.zhaopin.com/CCL1477315660J40506744403.htm?refcode=4019&srccode=401901&preactionid=fad46c61-505f-4550-a003-9c9ae1ac9fae
